Test Name,Striker Length,Striker Velocity,Striker Pressure,Wave Speed,Striker Material,Bar Density,Bar Poisson's,Bar Elastic Modulus,Bar Cross Section,Bar Radius,Incident SG Distance,Transmitted SG Distance,Test Mode
DKS_20241202_PULSE_LAB_RT_001,304.8,18.58,0.344738,4955.845703,SteelC350,8.08e-06,0.29,199990.0,71.25147,4.762357327,1219.2,1219.2,LABMode
DKS_20250102_PULSE_LAB_RT_002,304.8,18.51,0.344738,4969.227051,SteelC350,8.08e-06,0.29,199990.0,71.25147,4.762357327,1219.2,1219.2,LABMode
DKS_20250102_PULSE_LAB_RT_004,304.8,18.41,0.344738,4950.312012,SteelC350,8.08e-06,0.29,199990.0,71.25147,4.762357327,1219.2,1219.2,LABMode
DKS_20250102_PULSE_LAB_RT_005,304.8,17.99,0.344738,4936.157227,SteelC350,8.08e-06,0.29,199990.0,71.25147,4.762357327,1219.2,1219.2,LABMode
DKS_20250102_PULSE_LAB_RT_006,304.8,18.74,0.344738,4939.28125,SteelC350,8.08e-06,0.29,199990.0,71.25147,4.762357327,1219.2,1219.2,LABMode
DKS_20250106_PULSE_LAB_RT_002,304.8,14.13,0.2068428,4969.480469,SteelC350,8.08e-06,0.29,199990.0,71.25147,4.762357327,1219.2,1219.2,LABMode
DKS_20250106_PULSE_LAB_RT_003,304.8,16.67,0.2413166,4940.032227,SteelC350,8.08e-06,0.29,199990.0,71.25147,4.762357327,1219.2,1219.2,LABMode
DKS_20250106_PULSE_LAB_RT_005,304.8,15.69,0.22752708,4947.047852,SteelC350,8.08e-06,0.29,199990.0,71.25147,4.762357327,1219.2,1219.2,LABMode
DKS_20250106_PULSE_LAB_RT_006,304.8,16.32,0.2413166,4930.916504,SteelC350,8.08e-06,0.29,199990.0,71.25147,4.762357327,1219.2,1219.2,LABMode
DKS_20250106_PULSE_LAB_RT_007,304.8,16.38,0.2413166,4958.23877,SteelC350,8.08e-06,0.29,199990.0,71.25147,4.762357327,1219.2,1219.2,LABMode
DKS_20250108_PULSE_LAB_RT_001,304.8,10.02,0.1378952,4924.816895,SteelC350,8.08e-06,0.29,199990.0,71.25147,4.762357327,1219.2,1219.2,LABMode
DKS_20250108_PULSE_LAB_RT_002,304.8,9.489,0.1378952,4931.540039,SteelC350,8.08e-06,0.29,199990.0,71.25147,4.762357327,1219.2,1219.2,LABMode
DKS_20250108_PULSE_LAB_RT_003,304.8,10.09,0.1378952,4931.041016,SteelC350,8.08e-06,0.29,199990.0,71.25147,4.762357327,1219.2,1219.2,LABMode
DKS_20250108_PULSE_LAB_RT_004,304.8,10.53,0.1378952,4932.537109,SteelC350,8.08e-06,0.29,199990.0,71.25147,4.762357327,1219.2,1219.2,LABMode
DKS_20250108_PULSE_LAB_RT_005,304.8,10.18,0.1378952,4934.28418,SteelC350,8.08e-06,0.29,199990.0,71.25147,4.762357327,1219.2,1219.2,LABMode
DKS_20250109_PULSE_LAB_RT_002,304.8,10.93,0.1378952,4966.823242,SteelC350,8.08e-06,0.29,199990.0,71.25147,4.762357327,1219.2,1219.2,LABMode
DKS_20250109_PULSE_LAB_RT_003,304.8,10.7,0.1378952,4964.54834,SteelC350,8.08e-06,0.29,199990.0,71.25147,4.762357327,1219.2,1219.2,LABMode
DKS_20250109_PULSE_LAB_RT_004,304.8,15.58,0.2413166,4970.873535,SteelC350,8.08e-06,0.29,199990.0,71.25147,4.762357327,1219.2,1219.2,LABMode
DKS_20250109_PULSE_LAB_RT_005,304.8,15.23,0.2413166,4977.977051,SteelC350,8.08e-06,0.29,199990.0,71.25147,4.762357327,1219.2,1219.2,LABMode
DKS_20250109_PULSE_LAB_RT_006,304.8,15.18,0.2413166,4969.860352,SteelC350,8.08e-06,0.29,199990.0,71.25147,4.762357327,1219.2,1219.2,LABMode
DKS_20250109_PULSE_LAB_RT_007,304.8,17.2,0.344738,4976.453125,SteelC350,8.08e-06,0.29,199990.0,71.25147,4.762357327,1219.2,1219.2,LABMode
DKS_20250109_PULSE_LAB_RT_008,304.8,17.2,0.3792118,4976.707031,SteelC350,8.08e-06,0.29,199990.0,71.25147,4.762357327,1219.2,1219.2,LABMode
DKS_20250109_PULSE_LAB_RT_009,304.8,17.8,0.3792118,4974.295898,SteelC350,8.08e-06,0.29,199990.0,71.25147,4.762357327,1219.2,1219.2,LABMode
