v,A,B,C,D,E,F
0.2,0.5875,0.41473,41.305,12.208,-9.4836,3.0893
0.21,0.58626,0.41589,38.715,13.257,-9.3202,3.0344
0.22,0.58499,0.41708,36.051,14.339,-9.1552,2.9774
0.23,0.58367,0.41832,33.312,15.458,-8.9934,2.9202
0.24,0.58232,0.41958,30.564,16.551,-8.8078,2.8552
0.25,0.58092,0.42088,27.792,17.636,-8.6088,2.7857
0.26,0.57972,0.42201,26.257,18.005,-8.2969,2.7116
0.27,0.5785,0.42315,24.674,18.385,-7.9743,2.6328
0.28,0.57724,0.42434,23.039,18.79,-7.6529,2.5538
0.29,0.57594,0.42555,21.326,19.224,-7.3258,2.4713
0.3,0.5746,0.42681,19.53,19.702,-7.0054,2.3897
0.31,0.57344,0.4279,18.668,19.664,-6.6213,2.3118
0.32,0.57228,0.42901,17.781,19.636,-6.2337,2.2327
0.33,0.57106,0.43016,16.764,19.679,-5.8543,2.1532
0.34,0.56983,0.43132,15.741,19.714,-5.4671,2.0717
0.35,0.56855,0.43254,14.602,19.809,-5.0851,1.9895
