Time (ms),SS316 Alloy Strain Rate 1W,SS316 Alloy Strain Rate 3W,Al 356 Alloy Strain Rate 1W,Al 356 Alloy Strain Rate 3W,SS 316 - Al 356 Composite Strain Rate 1W,SS 316 - Al 356 Composite Strain Rate 3W
0.016151767,-771.13666,386.20654,-942.6632,669.6321,-1007.67456,567.46405
0.016166791,-772.3884,386.7993,-942.51794,669.4518,-1008.0075,567.612
0.016181815,-773.6436,387.39413,-942.372,669.27576,-1008.3407,567.768
0.016196841,-774.9019,387.99097,-942.22546,669.10394,-1008.67377,567.9318
0.016211865,-776.1635,388.5898,-942.07825,668.93634,-1009.0071,568.10364
0.016226891,-777.42834,389.19055,-941.93036,668.773,-1009.3405,568.2833
0.016241916,-778.6965,389.7933,-941.78174,668.6138,-1009.6738,568.4709
0.016256941,-779.9677,390.398,-941.63245,668.4587,-1010.007,568.66614
0.016271966,-781.2424,391.00473,-941.48236,668.3079,-1010.3402,568.8693
0.01628699,-782.52026,391.6136,-941.3315,668.1612,-1010.67316,569.0804
0.016302016,-783.8015,392.2244,-941.17993,668.01874,-1011.0061,569.2992
0.01631704,-785.08594,392.83722,-941.0274,667.8804,-1011.3389,569.52576
0.016332066,-786.3737,393.45218,-940.8742,667.74615,-1011.6716,569.76013
0.01634709,-787.6648,394.069,-940.72003,667.616,-1012.0038,570.00226
0.016362116,-788.9592,394.68796,-940.5651,667.4901,-1012.33575,570.25214
0.01637714,-790.2569,395.30884,-940.4092,667.3682,-1012.66754,570.5096
0.016392164,-791.55804,395.93185,-940.25244,667.25055,-1012.99896,570.77466
0.01640719,-792.86237,396.55692,-940.0948,667.13696,-1013.32983,571.0475
0.016422214,-794.1701,397.18396,-939.9361,667.0274,-1013.6604,571.328
0.01643724,-795.4812,397.8133,-939.77655,666.92206,-1013.99066,571.616
0.016452264,-796.79565,398.4445,-939.61584,666.8206,-1014.32025,571.9118
0.01646729,-798.11346,399.07776,-939.4542,666.7234,-1014.6494,572.2151
0.016482314,-799.43463,399.71307,-939.2916,666.6301,-1014.978,572.52576
0.016497338,-800.7592,400.3506,-939.1279,666.541,-1015.30585,572.8442
0.016512364,-802.0871,400.99008,-938.96313,666.45575,-1015.6335,573.16986
0.016527388,-803.4184,401.63156,-938.7974,666.37476,-1015.9601,573.5032
0.016542414,-804.7531,402.27533,-938.6303,666.2976,-1016.286,573.84406
0.016557438,-806.09125,402.92102,-938.46234,666.2245,-1016.61145,574.19226
0.016572464,-807.4328,403.5689,-938.293,666.15533,-1016.93604,574.548
0.016587488,-808.7777,404.2188,-938.1226,666.0903,-1017.2598,574.911
0.016602512,-810.126,404.87085,-937.9511,666.02924,-1017.58276,575.28125
0.016617538,-811.47784,405.525,-937.7783,665.97205,-1017.9049,575.65906
0.016632563,-812.8331,406.18124,-937.6042,665.9189,-1018.226,576.0442
0.016647588,-814.1918,406.83948,-937.42896,665.86957,-1018.5463,576.4364
0.016662613,-815.55383,407.49994,-937.2523,665.8243,-1018.8656,576.8362
0.016677639,-816.9195,408.1626,-937.07446,665.7829,-1019.1838,577.24304
0.016692663,-818.2885,408.82724,-936.89526,665.74536,-1019.5012,577.6571
0.016707687,-819.661,409.49408,-936.7148,665.71173,-1019.81726,578.07837
0.016722713,-821.037,410.1629,-936.53296,665.68207,-1020.1323,578.5068
0.016737737,-822.4164,410.8339,-936.3496,665.65625,-1020.4463,578.94257
0.016752763,-823.7993,411.50705,-936.16504,665.63434,-1020.759,579.3852
0.016767787,-825.18567,412.18234,-935.97894,665.6162,-1021.0706,579.8352
0.016782813,-826.57556,412.85977,-935.79144,665.60187,-1021.3809,580.29205
0.016797837,-827.96893,413.53925,-935.6024,665.5915,-1021.68976,580.756
0.016812861,-829.36584,414.2208,-935.41205,665.5849,-1021.99744,581.2268
0.016827887,-830.76624,414.90466,-935.2201,665.5821,-1022.30383,581.70483
0.016842911,-832.1702,415.5906,-935.0267,665.58307,-1022.60864,582.1898
0.016857937,-833.5777,416.2786,-934.83154,665.5878,-1022.9122,582.6815
0.016872961,-834.9886,416.96884,-934.63495,665.5963,-1023.2141,583.18024
0.016887987,-836.4031,417.66113,-934.4368,665.60864,-1023.5148,583.686
0.016903011,-837.8211,418.3557,-934.2371,665.6247,-1023.81384,584.1984
0.016918037,-839.2426,419.0523,-934.03564,665.64435,-1024.1112,584.71783
0.016933061,-840.6677,419.75107,-933.8326,665.6678,-1024.4069,585.2438
0.016948085,-842.09644,420.45193,-933.6279,665.6949,-1024.7013,585.7767
0.016963111,-843.5287,421.15494,-933.4215,665.72577,-1024.9937,586.3164
0.016978135,-844.9644,421.86023,-933.2133,665.7602,-1025.2844,586.86255
0.016993161,-846.40375,422.56747,-933.0035,665.79834,-1025.5735,587.4155
0.017008185,-847.8466,423.277,-932.79193,665.8402,-1025.8607,587.9752
0.017023211,-849.29315,423.98874,-932.57855,665.8856,-1026.1461,588.54144
0.017038235,-850.7432,424.70255,-932.3634,665.9347,-1026.4298,589.1143
0.01705326,-852.1969,425.4184,-932.1463,665.9873,-1026.7113,589.6937
0.017068285,-853.6541,426.13654,-931.92755,666.0436,-1026.9911,590.2796
0.01708331,-855.1148,426.85675,-931.70685,666.1034,-1027.269,590.87213
0.017098336,-856.5793,427.5792,-931.4843,666.16675,-1027.5447,591.47095
0.01711336,-858.0473,428.30374,-931.25977,666.2336,-1027.8186,592.0763
0.017128386,-859.51886,429.03046,-931.03345,666.30414,-1028.0902,592.6879
0.01714341,-860.9941,429.75934,-930.80505,666.37805,-1028.3597,593.30615
0.017158434,-862.4729,430.49026,-930.5748,666.45544,-1028.6272,593.9305
0.01717346,-863.9553,431.22354,-930.3426,666.5364,-1028.8925,594.5612
0.017188484,-865.4414,431.95883,-930.1082,666.6207,-1029.1555,595.1983
0.01720351,-866.9311,432.69632,-929.87195,666.7086,-1029.4163,595.8416
0.017218534,-868.4243,433.43588,-929.6336,666.79987,-1029.6747,596.491
0.01723356,-869.92126,434.1777,-929.39325,666.89453,-1029.9309,597.14667
0.017248584,-871.4219,434.9217,-929.15063,666.9926,-1030.1847,597.8086
0.017263608,-872.9261,435.66776,-928.9061,667.0941,-1030.4362,598.4765
0.017278634,-874.4339,436.416,-928.65924,667.19885,-1030.685,599.1505
0.017293658,-875.9453,437.16626,-928.4104,667.3071,-1030.9316,599.8305
0.017308684,-877.46045,437.9189,-928.15936,667.4185,-1031.1757,600.5167
0.017323708,-878.9793,438.6736,-927.90607,667.5335,-1031.4171,601.2088
0.017338734,-880.5017,439.43048,-927.6507,667.65173,-1031.656,601.90686
0.017353758,-882.02783,440.18942,-927.3929,667.7731,-1031.8925,602.6108
0.017368782,-883.5575,440.9505,-927.133,667.8978,-1032.126,603.3207
0.017383808,-885.09094,441.7138,-926.8708,668.0258,-1032.357,604.0363
0.017398832,-886.6279,442.47922,-926.6064,668.15704,-1032.5852,604.7578
0.017413858,-888.1687,443.24683,-926.3395,668.2915,-1032.8107,605.4851
0.017428882,-889.71313,444.01648,-926.0702,668.4292,-1033.0334,606.21814
0.017443908,-891.26117,444.7883,-925.79877,668.56995,-1033.2534,606.9568
0.017458932,-892.8129,445.56226,-925.52484,668.7139,-1033.4705,607.7011
0.017473957,-894.36835,446.3384,-925.2485,668.8611,-1033.6846,608.45123
0.017488983,-895.9274,447.11667,-924.96985,669.0114,-1033.896,609.20685
0.017504007,-897.4902,447.897,-924.6887,669.1649,-1034.1042,609.9682
0.017519033,-899.0567,448.67953,-924.405,669.3213,-1034.3094,610.7349
0.017534057,-900.62683,449.46417,-924.11896,669.4808,-1034.5117,611.50714
0.017549083,-902.2006,450.2509,-923.8304,669.6435,-1034.7109,612.285
0.017564107,-903.7782,451.03986,-923.5393,669.8092,-1034.907,613.0682
0.01757913,-905.3594,451.8308,-923.2456,669.97797,-1035.0999,613.8567
0.017594157,-906.9443,452.62396,-922.9494,670.14954,-1035.2897,614.6505
0.01760918,-908.5329,453.41922,-922.6506,670.32446,-1035.4762,615.44977
0.017624207,-910.1252,454.2166,-922.34924,670.50214,-1035.6595,616.25433
0.017639231,-911.7212,455.01608,-922.0452,670.6827,-1035.8396,617.0641
0.017654257,-913.32086,455.81763,-921.7385,670.86633,-1036.0164,617.879
0.017669281,-914.9243,456.62134,-921.42926,671.05286,-1036.1897,618.6992
0.017684307,-916.5314,457.42715,-921.11725,671.2423,-1036.3596,619.5244
0.017699331,-918.1422,458.2351,-920.8025,671.4346,-1036.5264,620.35486
0.017714355,-919.7568,459.0451,-920.48517,671.6297,-1036.6896,621.19025
0.017729381,-921.37494,459.85718,-920.1649,671.8277,-1036.8491,622.0307
0.017744405,-922.9968,460.6713,-919.8421,672.02844,-1037.0052,622.8761
0.017759431,-924.62244,461.48758,-919.51636,672.2321,-1037.1578,623.7266
0.017774455,-926.25183,462.306,-919.1879,672.43854,-1037.3069,624.5819
0.017789481,-927.8848,463.12634,-918.8566,672.6476,-1037.4524,625.442
0.017804505,-929.5216,463.94904,-918.52246,672.8596,-1037.594,626.307
0.01781953,-931.16205,464.7736,-918.1854,673.07416,-1037.7322,627.17694
0.017834555,-932.8063,465.60025,-917.8456,673.2915,-1037.8663,628.05145
0.01784958,-934.4541,466.42908,-917.5028,673.5116,-1037.997,628.9307
0.017864605,-936.1057,467.2599,-917.1571,673.7343,-1038.1239,629.8148
0.01787963,-937.761,468.09265,-916.80853,673.95966,-1038.2466,630.70337
0.017894655,-939.42004,468.9276,-916.4569,674.1877,-1038.3658,631.59656
0.01790968,-941.08276,469.76465,-916.1024,674.4182,-1038.481,632.49445
0.017924704,-942.7492,470.60367,-915.7448,674.6514,-1038.5923,633.39685
0.01793973,-944.4195,471.4448,-915.3843,674.8872,-1038.6996,634.3035
0.017954754,-946.0933,472.28787,-915.02075,675.1255,-1038.803,635.21484
0.01796978,-947.77094,473.13306,-914.6541,675.3663,-1038.9023,636.13055
0.017984804,-949.4523,473.98022,-914.28436,675.6096,-1038.9976,637.0506
0.01799983,-951.1373,474.82956,-913.91156,675.85547,-1039.0889,637.975
0.018014854,-952.82605,475.68082,-913.53577,676.1037,-1039.1759,638.9036
0.018029878,-954.5185,476.5341,-913.15674,676.35455,-1039.2587,639.83655
0.018044904,-956.2146,477.38934,-912.77454,676.6077,-1039.3375,640.77374
0.018059928,-957.9145,478.24658,-912.38934,676.86334,-1039.412,641.71484
0.018074954,-959.61804,479.106,-912.0008,677.1213,-1039.4823,642.66034
0.018089978,-961.3254,479.96725,-911.60913,677.3816,-1039.5483,643.60986
0.018105004,-963.0364,480.8305,-911.2142,677.6442,-1039.61,644.5635
0.018120028,-964.75104,481.69595,-910.81616,677.9093,-1039.6674,645.5211
0.018135052,-966.46954,482.56314,-910.41473,678.17664,-1039.7203,646.48267
0.018150078,-968.19165,483.4324,-910.0101,678.4462,-1039.7688,647.4482
0.018165102,-969.9174,484.30374,-909.6021,678.718,-1039.813,648.4176
