Strain (mm/mm),SS316 Alloy Back Surface,SS316 Alloy Front Surface,Al 356 Alloy Back Surface,Al 356 Alloy Front Surface,SS 316 - Al 356 Composite Back Surface,SS 316 - Al 356 Composite Front Surface
-0.0,220.19295,0.22684543,304.4773,144.48308,516.42596,203.31181
-1.1563236e-05,220.74356,0.39831603,304.20465,144.18535,516.1682,202.9148
-2.3245544e-05,221.29477,0.56955403,303.93024,143.88867,515.90625,202.51927
-3.480851e-05,221.84645,0.7406362,303.6539,143.593,515.6404,202.12537
-4.6490542e-05,222.39867,0.9114859,303.3758,143.29836,515.3706,201.733
-5.817244e-05,222.95145,1.0821284,303.09583,143.00475,515.0966,201.34221
-6.9854206e-05,223.50473,1.2525642,302.81406,142.7122,514.8187,200.95303
-8.153583e-05,224.05855,1.4227929,302.53043,142.4207,514.5368,200.56546
-9.333651e-05,224.6129,1.5928146,302.24496,142.13028,514.25085,200.17952
-0.00010501786,225.16777,1.7626036,301.95773,141.84094,513.9609,199.7952
-0.00011681828,225.72319,1.9322114,301.66864,141.55272,513.66693,199.41249
-0.00012861856,226.27911,2.1015866,301.37775,141.26562,513.36896,199.03151
-0.00014041868,226.83559,2.270729,301.085,140.97958,513.06696,198.65211
-0.00015221868,227.39258,2.4396899,300.79053,140.69469,512.761,198.27443
-0.00016401851,227.9501,2.6083927,300.4942,140.41093,512.4509,197.89836
-0.00017593744,228.50816,2.7769146,300.19608,140.12833,512.1369,197.52406
-0.0001878562,229.06677,2.9451778,299.89618,139.84686,511.81882,197.15143
-0.00019965562,229.62587,3.1132083,299.59442,139.56654,511.49683,196.78053
-0.00021157412,230.18552,3.2810318,299.2909,139.28743,511.17065,196.41138
-0.00022361163,230.74571,3.448623,298.98563,139.00952,510.8406,196.04395
-0.00023552979,231.30641,3.615981,298.67853,138.73277,510.5066,195.67822
-0.0002474479,231.86765,3.7831326,298.36966,138.45723,510.16846,195.3143
-0.00025948495,232.42943,3.950026,298.059,138.1829,509.8264,194.95212
-0.00027152192,232.9917,4.116661,297.74655,137.9098,509.4803,194.5918
-0.00028355868,233.55457,4.283114,297.43243,137.63795,509.1302,194.23315
-0.00029559538,234.11792,4.449258,297.11646,137.36731,508.77612,193.87639
-0.00030763185,234.68178,4.6152215,296.79874,137.09799,508.41806,193.52144
-0.0003197874,235.24622,4.7808995,296.47925,136.82988,508.05597,193.16829
