Time (ms),SS316 Alloy True Strain 1W,SS316 Alloy True Strain 3W,Al 356 Alloy True Strain 1W,Al 356 Alloy True Strain 3W,SS 316 - Al 356 Composite True Strain 1W,SS 316 - Al 356 Composite True Strain 3W
0.016151767,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.016166791,-1.1563236e-05,5.7816674e-06,-1.1324819e-05,8.04666e-06,-1.2159274e-05,6.7949522e-06
0.016181815,-2.3245544e-05,1.1622973e-05,-2.2649509e-05,1.6093383e-05,-2.4199193e-05,1.3649556e-05
0.016196841,-3.480851e-05,1.7464314e-05,-3.397407e-05,2.4140172e-05,-3.6358168e-05,2.04446e-05
0.016211865,-4.6490542e-05,2.3305687e-05,-4.5298504e-05,3.2187025e-05,-4.8517006e-05,2.72993e-05
0.016226891,-5.817244e-05,2.9147097e-05,-5.6622812e-05,4.0233943e-05,-6.0556486e-05,3.4154044e-05
0.016241916,-6.9854206e-05,3.4988538e-05,-6.794698e-05,4.828093e-05,-7.2715025e-05,4.094923e-05
0.016256941,-8.153583e-05,4.0830015e-05,-7.9271034e-05,5.6268367e-05,-8.487342e-05,4.7804067e-05
0.016271966,-9.333651e-05,4.6731133e-05,-9.059496e-05,6.431548e-05,-9.703166e-05,5.4658954e-05
0.01628699,-0.00010501786,5.257268e-05,-0.00010191875,7.236266e-05,-0.00010918975,6.145428e-05
0.016302016,-0.00011681828,5.8473866e-05,-0.000113242415,8.0409896e-05,-0.00012134769,6.830925e-05
0.01631704,-0.00012861856,6.437509e-05,-0.00012456594,8.839759e-05,-0.00013350548,7.516428e-05
0.016332066,-0.00014041868,7.027634e-05,-0.00013577017,9.644497e-05,-0.00014566314,8.201935e-05
0.01634709,-0.00015221868,7.617764e-05,-0.00014709345,0.0001044924,-0.00015782063,8.8874476e-05
0.016362116,-0.00016401851,8.213857e-05,-0.00015841659,0.000112480295,-0.00016997801,9.572964e-05
0.01637714,-0.00017593744,8.803994e-05,-0.00016973962,0.00012052785,-0.0001821352,0.000102584854
0.016392164,-0.0001878562,9.400095e-05,-0.00018106254,0.00012851587,-0.00019429227,0.000109440116
0.01640719,-0.00019965562,9.996199e-05,-0.00019238527,0.00013656357,-0.00020644919,0.00011629543
0.016422214,-0.00021157412,0.00010592306,-0.00020358876,0.00014461133,-0.00021860593,0.00012315078
0.01643724,-0.00022361163,0.000111884176,-0.00021491124,0.00015259953,-0.00023076257,0.00013000618
0.016452264,-0.00023552979,0.000117904936,-0.00022623363,0.0001605878,-0.0002430382,0.00013692126
0.01646729,-0.0002474479,0.00012386612,-0.0002375559,0.00016863577,-0.00025519452,0.00014377675
0.016482314,-0.00025948495,0.00012988695,-0.00024875885,0.00017662416,-0.0002673507,0.00015063229
0.016497338,-0.00027152192,0.00013590783,-0.00026008088,0.00018467224,-0.00027962588,0.00015754747
0.016512364,-0.00028355868,0.00014192873,-0.00027140268,0.00019266078,-0.00029178176,0.00016440313
0.016527388,-0.00029559538,0.00014794967,-0.0002826053,0.00020070898,-0.00030405668,0.00017131843
0.016542414,-0.00030763185,0.00015397066,-0.00029392692,0.00020869763,-0.00031621224,0.00017823376
0.016557438,-0.0003197874,0.00016005128,-0.00030524842,0.00021668636,-0.0003283677,0.00018508955
0.016572464,-0.00033194275,0.00016607234,-0.00031645058,0.00022473476,-0.00034064212,0.00019200498
0.016587488,-0.00034409802,0.00017215303,-0.00032777182,0.00023272361,-0.0003529164,0.00019892048
0.016602512,-0.0003562531,0.00017823376,-0.00033897377,0.00024071253,-0.00036507144,0.00020583603
0.016617538,-0.00036840804,0.00018431454,-0.00035029475,0.00024876112,-0.00037734542,0.0002127516
0.016632563,-0.00038056288,0.00019039535,-0.00036161556,0.00025675018,-0.0003895001,0.00021966724
0.016647588,-0.0003928366,0.00019653582,-0.00037281716,0.00026473924,-0.00040177378,0.00022664253
