Time (ms),SS316 Alloy Back Surface,SS316 Alloy Front Surface,Al 356 Alloy Back Surface,Al 356 Alloy Front Surface,SS 316 - Al 356 Composite Back Surface,SS 316 - Al 356 Composite Front Surface
0.016151767,220.19295,0.22684543,304.4773,144.48308,516.42596,203.31181
0.016166791,220.74356,0.39831603,304.20465,144.18535,516.1682,202.9148
0.016181815,221.29477,0.56955403,303.93024,143.88867,515.90625,202.51927
0.016196841,221.84645,0.7406362,303.6539,143.593,515.6404,202.12537
0.016211865,222.39867,0.9114859,303.3758,143.29836,515.3706,201.733
0.016226891,222.95145,1.0821284,303.09583,143.00475,515.0966,201.34221
0.016241916,223.50473,1.2525642,302.81406,142.7122,514.8187,200.95303
0.016256941,224.05855,1.4227929,302.53043,142.4207,514.5368,200.56546
0.016271966,224.6129,1.5928146,302.24496,142.13028,514.25085,200.17952
0.01628699,225.16777,1.7626036,301.95773,141.84094,513.9609,199.7952
0.016302016,225.72319,1.9322114,301.66864,141.55272,513.66693,199.41249
0.01631704,226.27911,2.1015866,301.37775,141.26562,513.36896,199.03151
0.016332066,226.83559,2.270729,301.085,140.97958,513.06696,198.65211
0.01634709,227.39258,2.4396899,300.79053,140.69469,512.761,198.27443
0.016362116,227.9501,2.6083927,300.4942,140.41093,512.4509,197.89836
0.01637714,228.50816,2.7769146,300.19608,140.12833,512.1369,197.52406
0.016392164,229.06677,2.9451778,299.89618,139.84686,511.81882,197.15143
0.01640719,229.62587,3.1132083,299.59442,139.56654,511.49683,196.78053
0.016422214,230.18552,3.2810318,299.2909,139.28743,511.17065,196.41138
0.01643724,230.74571,3.448623,298.98563,139.00952,510.8406,196.04395
0.016452264,231.30641,3.615981,298.67853,138.73277,510.5066,195.67822
0.01646729,231.86765,3.7831326,298.36966,138.45723,510.16846,195.3143
0.016482314,232.42943,3.950026,298.059,138.1829,509.8264,194.95212
0.016497338,232.9917,4.116661,297.74655,137.9098,509.4803,194.5918
0.016512364,233.55457,4.283114,297.43243,137.63795,509.1302,194.23315
0.016527388,234.11792,4.449258,297.11646,137.36731,508.77612,193.87639
0.016542414,234.68178,4.6152215,296.79874,137.09799,508.41806,193.52144
0.016557438,235.24622,4.7808995,296.47925,136.82988,508.05597,193.16829
0.016572464,235.81117,4.9463716,296.15805,136.56305,507.68988,192.81702
0.016587488,236.37668,5.1115847,295.83505,136.29752,507.3199,192.46754
0.016602512,236.94266,5.2765408,295.5103,136.03328,506.9458,192.11995
0.016617538,237.50919,5.4412374,295.18387,135.77032,506.56784,191.77423
0.016632563,238.07625,5.605676,294.85568,135.50873,506.18582,191.43037
0.016647588,238.64388,5.769882,294.5257,135.24841,505.79996,191.08841
0.016662613,239.21198,5.9338303,294.19406,134.98949,505.41003,190.74838
0.016677639,239.78061,6.097494,293.8607,134.73186,505.01614,190.4103
0.016692663,240.3498,6.260926,293.5256,134.47563,504.61826,190.07405
0.016707687,240.91951,6.424073,293.18878,134.22073,504.21652,189.73982
0.016722713,241.48975,6.586937,292.8502,133.96722,503.81076,189.4075
0.016737737,242.06047,6.7495937,292.50998,133.71513,503.40103,189.07715
0.016752763,242.63179,6.9119153,292.16803,133.4644,502.9874,188.74875
0.016767787,243.2036,7.0740037,291.82443,133.21509,502.56982,188.4224
0.016782813,243.77596,7.235783,291.47913,132.96718,502.1483,188.09796
0.016797837,244.34882,7.39733,291.1321,132.72072,501.7228,187.77559
0.016812861,244.92223,7.5585675,290.78345,132.47566,501.29343,187.45522
0.016827887,245.49617,7.719521,290.43307,132.23209,500.8602,187.13686
0.016842911,246.07057,7.8801904,290.08102,131.98994,500.4229,186.82057
0.016857937,246.64557,8.040576,289.7274,131.7493,499.98178,186.50633
0.016872961,247.22105,8.200677,289.37207,131.51012,499.53674,186.19412
0.016887987,247.79706,8.360471,289.015,131.27243,499.0878,185.88396
0.016903011,248.37361,8.520004,288.65637,131.03621,498.63498,185.57594
0.016918037,248.95068,8.67923,288.29608,130.80153,498.1783,185.27003
0.016933061,249.52826,8.838144,287.93417,130.56834,497.71765,184.96619
0.016948085,250.10635,8.996724,287.5706,130.3367,497.25317,184.66446
0.016963111,250.68498,9.1550455,287.2054,130.10661,496.78485,184.36491
0.016978135,251.26414,9.313033,286.83862,129.87807,496.31265,184.06743
0.016993161,251.84381,9.47071,286.47018,129.65103,495.83658,183.77211
0.017008185,252.42401,9.628103,286.10016,129.42563,495.3567,183.47903
0.017023211,253.00471,9.785136,285.72855,129.20175,494.8729,183.18808
0.017038235,253.58594,9.941884,285.35535,128.97949,494.38535,182.89928
0.01705326,254.1677,10.098298,284.9805,128.75882,493.8939,182.61273
0.017068285,254.74995,10.254376,284.60413,128.53976,493.39868,182.32837
0.01708331,255.33272,10.410146,284.22617,128.32231,492.8996,182.0462
0.017098336,255.91599,10.565554,283.8466,128.10648,492.39673,181.7663
0.01711336,256.49982,10.720653,283.46548,127.892296,491.8901,181.4886
0.017128386,257.08414,10.875443,283.08286,127.679756,491.3796,181.21318
0.01714341,257.669,11.029846,282.6986,127.46888,490.8654,180.94003
0.017158434,258.25436,11.183914,282.31287,127.25964,490.3474,180.66919
0.01717346,258.8402,11.337672,281.9255,127.0521,489.8256,180.40059
0.017188484,259.42657,11.491045,281.5367,126.84629,489.30008,180.1343
0.01720351,260.01352,11.644082,281.1464,126.64213,488.77075,179.87032
0.017218534,260.6009,11.796758,280.75452,126.43965,488.23776,179.60869
0.01723356,261.1888,11.949074,280.36108,126.23893,487.7009,179.34932
0.017248584,261.7772,12.101029,279.9662,126.03994,487.16046,179.09233
0.017263608,262.36612,12.252624,279.5698,125.84264,486.61627,178.83772
0.017278634,262.95557,12.403857,279.17188,125.647125,486.06833,178.58546
0.017293658,263.5455,12.554704,278.77252,125.45334,485.51672,178.33559
0.017308684,264.13593,12.705192,278.3717,125.261314,484.96143,178.0881
0.017323708,264.72687,12.855292,277.9694,125.07106,484.40244,177.84299
0.017338734,265.3183,13.005005,277.5656,124.882614,483.83978,177.60031
0.017353758,265.91025,13.15436,277.16034,124.69596,483.2735,177.36005
0.017368782,266.50272,13.303328,276.7537,124.51108,482.70355,177.1222
0.017383808,267.09564,13.451882,276.34555,124.328026,482.1299,176.88676
0.017398832,267.68912,13.600051,275.936,124.1468,481.55273,176.65384
0.017413858,268.28305,13.7478075,275.52502,123.96739,480.97183,176.42337
0.017428882,268.8775,13.895178,275.11258,123.78984,480.38742,176.19542
0.017443908,269.47238,14.042139,274.6988,123.614136,479.79938,175.96986
0.017458932,270.06784,14.188711,274.28354,123.44028,479.20773,175.74684
0.017473957,270.66376,14.334846,273.8669,123.2683,478.61252,175.52638
0.017488983,271.26016,14.480595,273.44897,123.09818,478.01367,175.30838
0.017504007,271.85706,14.625906,273.02954,122.92998,477.41138,175.09291
0.017519033,272.45447,14.770754,272.6088,122.76364,476.80548,174.88002
0.017534057,273.05237,14.915242,272.18668,122.59921,476.19604,174.66972
0.017549083,273.6507,15.059266,271.7632,122.436714,475.58313,174.4619
0.017564107,274.24957,15.202854,271.33838,122.276146,474.96667,174.2567
0.01757913,274.8489,15.346004,270.91217,122.117516,474.34668,174.05406
0.017594157,275.4487,15.488741,270.48468,121.960815,473.7233,173.85403
0.01760918,276.04904,15.631017,270.05582,121.80607,473.09637,173.6566
0.017624207,276.6498,15.772853,269.62567,121.653305,472.46597,173.4618
0.017639231,277.25107,15.914203,269.1942,121.50244,471.83218,173.26962
0.017654257,277.8528,16.055138,268.76144,121.353645,471.19485,173.08012
0.017669281,278.455,16.195562,268.32742,121.20678,470.5542,172.89322
0.017684307,279.0577,16.335573,267.8921,121.06192,469.9101,172.70903
0.017699331,279.6609,16.475092,267.45547,120.91911,469.26263,172.52747
0.017714355,280.2645,16.614153,267.01758,120.778275,468.6117,172.34856
0.017729381,280.86856,16.752722,266.57846,120.639465,467.95743,172.17244
0.017744405,281.4732,16.89083,266.1381,120.502686,467.29974,171.99896
0.017759431,282.0782,17.02845,265.69644,120.36796,466.6388,171.82823
