,Unnamed: 0.1,Unnamed: 0,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,True Strain Rate 1W,True Strain Rate 3W
0,0,0,0.0,-0.00068948104,0.0005891442,-9.752476e-05,-0.4970006,-0.48307142,-1.4297581,-1.389687,-0.9198695,0.91767925,0.0,0.0,-0.045004766,-0.04374344,0.0,0.0,-0.045004766,-0.04374344,0.6511157309853649,0.65225721497971
1,1,1,8.647000000000515e-06,-0.00069184863,0.00059136393,-9.7820724e-05,-0.49773297,-0.48453742,-1.4318649,-1.3939043,-0.92321163,0.92113686,-7.969621e-06,7.95118e-06,-0.04507108,-0.04387619,-7.969653e-06,7.951148e-06,-0.045070723,-0.04387654,0.6529171253923512,0.6539965125534454
2,2,2,1.7296999999999452e-05,-0.0006942163,0.00059373205,-9.8116696e-05,-0.49773064,-0.48600346,-1.4318582,-1.3981218,-0.9266695,0.92482555,-1.5968646e-05,1.5933261e-05,-0.04507087,-0.044008944,-1.5968775e-05,1.5933134e-05,-0.045070153,-0.044009645,0.6548353402565779,0.6557928646033304
3,3,3,2.594499999999944e-05,-0.0006965844,0.0005960997,-9.841271e-05,-0.49773297,-0.48746973,-1.4318649,-1.4023399,-0.93012726,0.9285136,-2.3997576e-05,2.394724e-05,-0.04507108,-0.044141717,-2.3997864e-05,2.3946952e-05,-0.04507,-0.044142775,0.6567495507543206,0.6575859385668256
4,4,4,3.459500000000532e-05,-0.00069880416,0.0005984678,-9.8708675e-05,-0.496998,-0.48893574,-1.4297507,-1.4065573,-0.93346995,0.9322022,-3.2055912e-05,3.1993113e-05,-0.04500453,-0.044274468,-3.2056425e-05,3.1992604e-05,-0.04500309,-0.044275884,0.6586603886991127,0.6593162901807993
5,5,5,4.3239999999999945e-05,-0.0007013202,0.0006008354,-9.885666e-05,-0.49773324,-0.48966876,-1.4318657,-1.408666,-0.9371582,0.93589014,-4.014465e-05,4.0070885e-05,-0.045071106,-0.044340845,-4.0145453e-05,4.0070085e-05,-0.045069296,-0.044342622,0.6605672413765091,0.6612220537795527
6,6,6,5.189000000000582e-05,-0.0007036878,0.0006032031,-9.9152625e-05,-0.49773297,-0.49113476,-1.4318649,-1.4128834,-0.94061553,0.93957806,-4.8264283e-05,4.818055e-05,-0.04507108,-0.044473596,-4.8265447e-05,4.817939e-05,-0.045068905,-0.044475738,0.6624704545744421,0.6630052062566244
7,7,7,6.053500000000045e-05,-0.00070605543,0.0006055712,-9.944864e-05,-0.49773064,-0.492601,-1.4318582,-1.4171015,-0.9440734,0.9432668,-5.641382e-05,5.6322115e-05,-0.04507087,-0.04460637,-5.641541e-05,5.632053e-05,-0.045068327,-0.04460888,0.6643704744015123,0.6647854625271082
8,8,8,6.918499999999939e-05,-0.00070842355,0.0006079388,-9.9744604e-05,-0.49773324,-0.494067,-1.4318657,-1.4213188,-0.94753104,0.94695467,-6.459326e-05,6.449558e-05,-0.045071106,-0.04473912,-6.459535e-05,6.44935e-05,-0.045068197,-0.044742007,0.6662664441467683,0.6665624370182933
9,9,9,7.783299999999937e-05,-0.00071093906,0.0006103069,-9.989259e-05,-0.49846327,-0.49480003,-1.4339658,-1.4234276,-0.9512193,0.95064336,-7.28036e-05,7.270093e-05,-0.04513721,-0.044805497,-7.280625e-05,7.269829e-05,-0.045133926,-0.044808753,0.6681592463664415,0.6684544592195679
10,10,10,8.647900000000042e-05,-0.0007133071,0.0006126745,-0.000100188554,-0.49846557,-0.49626604,-1.4339725,-1.427645,-0.95467716,0.9543312,-8.104484e-05,8.093819e-05,-0.04513742,-0.044938248,-8.104812e-05,8.0934915e-05,-0.045133762,-0.044941884,0.670048037722037,0.6702250442510809
11,11,11,9.513000000000577e-05,-0.0007156747,0.00061519054,-0.00010048457,-0.49773037,-0.4977323,-1.4318575,-1.4318631,-0.9582501,0.95825034,-8.931648e-05,8.920833e-05,-0.045070846,-0.04507102,-8.932047e-05,8.920435e-05,-0.04506682,-0.04507504,0.6720513908896053,0.6720512683312123
12,12,12,0.000103775,-0.00071819074,0.00061755814,-0.00010063255,-0.49846557,-0.4984653,-1.4339725,-1.4339716,-0.9619383,0.9619382,-9.761952e-05,9.751137e-05,-0.04513742,-0.045137394,-9.762429e-05,9.750662e-05,-0.045133013,-0.045141794,0.6739328621761361,0.6739329131461398
13,13,13,0.0001124249999999,-0.00072055834,0.0006199258,-0.00010092851,-0.4984653,-0.4999313,-1.4339716,-1.438189,-0.96539575,0.9656262,-0.000105953455,0.00010584631,-0.045137394,-0.045270145,-0.00010595907,0.00010584071,-0.04513261,-0.045274936,0.6758108713993277,0.6756936245341638
14,14,14,0.0001210719999999,-0.00072307436,0.0006222939,-0.000101224476,-0.4991979,-0.5013973,-1.4360793,-1.4424064,-0.9689691,0.9693149,-0.0001143178,0.00011421314,-0.045203738,-0.045402896,-0.000114324335,0.00011420662,-0.04519857,-0.04540808,0.6776857157676434,0.677510106288546
15,15,15,0.000129723,-0.00072558987,0.0006248094,-0.00010137246,-0.4991979,-0.5021303,-1.4360793,-1.4445151,-0.9727721,0.97323316,-0.00012271403,0.00012261287,-0.045203738,-0.045469273,-0.00012272157,0.00012260534,-0.04519819,-0.04547485,0.6796733954257803,0.6794397109921726
16,16,16,0.0001383689999999,-0.000727958,0.00062717753,-0.00010166848,-0.4991979,-0.5035966,-1.4360793,-1.4487332,-0.97623026,0.97692186,-0.00013114167,0.00013104548,-0.045203738,-0.045602046,-0.00013115027,0.0001310369,-0.04519781,-0.04560802,0.6815410188752457,0.6811911208768574
17,17,17,0.000147019,-0.0007304735,0.00062969304,-0.000101816455,-0.4991979,-0.50432956,-1.4360793,-1.4508418,-0.9800333,0.98084015,-0.0001396007,0.00013951099,-0.045203738,-0.04566842,-0.00013961045,0.00013950127,-0.045197427,-0.04567479,0.6835210728907599,0.683113662746838
18,18,18,0.0001556649999999,-0.00073298946,0.00063206116,-0.00010211242,-0.49993026,-0.5057956,-1.438186,-1.4550592,-0.9836067,0.9845288,-0.00014809163,0.00014800939,-0.04527005,-0.04580117,-0.0001481026,0.00014799845,-0.045263346,-0.04580795,0.6853815056073335,0.6849167533242537
19,19,19,0.000164315,-0.0007355055,0.00063457666,-0.00010240839,-0.49993286,-0.50726163,-1.4381934,-1.4592767,-0.9872948,0.98844707,-0.00015661395,0.00015654069,-0.045270287,-0.045933925,-0.00015662622,0.00015652845,-0.045263197,-0.045941114,0.6873539672575321,0.6867743169331699
20,20,20,0.000172962,-0.000738021,0.0006369448,-0.00010255637,-0.50066286,-0.5079946,-1.4402936,-1.4613853,-0.99098307,0.99213576,-0.00016516817,0.00016510488,-0.04533639,-0.046000298,-0.00016518182,0.00016509126,-0.045328904,-0.046007894,0.6892073094505646,0.6886285217812151
21,21,21,0.000181612,-0.000740537,0.0006394603,-0.000102852384,-0.5006655,-0.50946087,-1.4403011,-1.4656034,-0.9946711,0.996054,-0.00017375429,0.00017370196,-0.045336626,-0.046133075,-0.00017376938,0.00017368689,-0.045328747,-0.046141088,0.6911722316315329,0.6904791745951794
22,22,22,0.000190259,-0.000743053,0.0006418284,-0.000103148355,-0.5013978,-0.5109269,-1.4424078,-1.4698209,-0.9982444,0.99974275,-0.0001823718,0.00018233195,-0.045402944,-0.046265826,-0.00018238844,0.00018231531,-0.045394663,-0.04627426,0.6930185472870406,0.6922689950679188
