,Unnamed: 0,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E,True Strain Rate 1W,True Strain Rate 3W
0,0,0.0,-0.0001115837,3.2261603e-05,-0.00018291442,-0.3929078,-0.9060338,-1.1303066,-2.606454,0.030427964,0.05025222,0.0,0.0,-0.035578877,-0.082043834,0.0,0.0,-0.035578877,-0.082043834,54.077747,145.31584,4.5205264,-95.75861,-94.952896,-190.71152,0.04903034484755307,-0.030900504842065673
1,1,7.430999999998716e-06,-0.0001115837,3.2261603e-05,-0.00018321043,-0.3929078,-0.9075,-1.1303066,-2.610672,0.030658508,0.05025222,2.2698816e-07,3.7345944e-07,-0.035578877,-0.08217661,2.2698813e-07,3.734594e-07,-0.035578884,-0.08217663,54.077747,145.78656,4.5205264,-96.22933,-95.419655,-191.64899,0.04903034484755307,-0.03113831225096471
2,2,1.4862999999996906e-05,-0.000111879715,3.2261603e-05,-0.00018350639,-0.39437404,-0.908966,-1.1345247,-2.6148891,0.030658463,0.05025222,4.5483281e-07,7.469189e-07,-0.03571165,-0.08230936,4.5483273e-07,7.469186e-07,-0.035711665,-0.082309395,54.365047,146.25795,4.5205264,-96.41342,-95.602196,-192.01562,0.04903034484755307,-0.031138265827697586
3,3,2.229299999999962e-05,-0.000111879715,3.1965632e-05,-0.00018380236,-0.39584008,-0.91043204,-1.1387422,-2.6191065,0.031119483,0.049791202,6.843904e-07,1.1186653e-06,-0.035844404,-0.08244211,6.8439016e-07,1.1186646e-06,-0.03584443,-0.08244217,54.365047,146.73012,4.437963,-96.803024,-95.98852,-192.79153,0.04859128915701236,-0.03161398016367146
4,4,2.972499999999781e-05,-0.00011217568,3.1965632e-05,-0.00018439433,-0.39730608,-0.9133643,-1.1429596,-2.627542,0.031350013,0.049791202,9.1651765e-07,1.4886986e-06,-0.035977155,-0.082707636,9.1651725e-07,1.4886974e-06,-0.03597719,-0.08270771,54.65306,147.67679,4.437963,-97.461685,-96.64164,-194.10333,0.04859128915701236,-0.03185194286992239
5,5,3.715699999999947e-05,-0.00011217568,3.1965632e-05,-0.0001846903,-0.39730608,-0.9148303,-1.1429596,-2.6317594,0.031580523,0.049791202,1.1503581e-06,1.8587318e-06,-0.035977155,-0.08284039,1.1503574e-06,1.8587301e-06,-0.035977196,-0.08284049,54.65306,148.15123,4.437963,-97.93612,-97.11208,-195.0482,0.04859128915701236,-0.0320899415636937
6,6,4.458899999999766e-05,-0.00011247165,3.166965e-05,-0.00018498627,-0.40023822,-0.91629636,-1.1513946,-2.635977,0.031811044,0.049330167,1.3859117e-06,2.227052e-06,-0.036242664,-0.08297314,1.3859107e-06,2.2270494e-06,-0.036242712,-0.08297325,54.94184,148.62645,4.356158,-98.040764,-97.21584,-195.2566,0.048152024411084036,-0.0323280082757462
7,7,5.202099999999932e-05,-0.00011247165,3.166965e-05,-0.00018528223,-0.40023822,-0.91776234,-1.1513946,-2.6401942,0.032041542,0.049330167,1.6231783e-06,2.593659e-06,-0.036242664,-0.08310589,1.623177e-06,2.5936556e-06,-0.036242723,-0.083106026,54.94184,149.1024,4.356158,-98.516716,-97.68779,-196.2045,0.048152024411084036,-0.032566107915703586
8,8,5.945299999999751e-05,-0.000112767615,3.166965e-05,-0.00018557825,-0.40170425,-0.9192286,-1.1556121,-2.6444123,0.032041587,0.049330167,1.8613016e-06,2.960266e-06,-0.03637542,-0.08323866,1.8612999e-06,2.9602616e-06,-0.036375485,-0.08323882,55.231377,149.5792,4.356158,-98.70398,-97.873474,-196.57745,0.048152024411084036,-0.032566154405303145
9,9,6.688499999999917e-05,-0.000112767615,3.137367e-05,-0.00018617019,-0.4031703,-0.9221607,-1.1598295,-2.6528473,0.032733116,0.048869137,2.1019946e-06,3.32516e-06,-0.036508173,-0.08350417,2.1019925e-06,3.3251545e-06,-0.03650825,-0.08350435,55.231377,150.53496,4.2751145,-99.57869,-98.74083,-198.31952,0.047712571393879785,-0.03328082988056256
10,10,7.431699999999736e-05,-0.00011306363,3.137367e-05,-0.00018646615,-0.40463656,-0.92362666,-1.1640476,-2.6570644,0.03273307,0.048869137,2.3452571e-06,3.6883407e-06,-0.036640946,-0.08363692,2.3452544e-06,3.688334e-06,-0.03664103,-0.08363711,55.52172,151.01395,4.2751145,-99.76734,-98.927895,-198.69524,0.047712571393879785,-0.033280782323885504
11,11,8.174700000000007e-05,-0.000113359594,3.137367e-05,-0.00018676216,-0.4061026,-0.9250929,-1.1682651,-2.6612825,0.032733116,0.048869137,2.5885197e-06,4.0515215e-06,-0.0367737,-0.083769694,2.5885165e-06,4.0515133e-06,-0.036773797,-0.08376991,55.812775,151.4938,4.2751145,-99.95614,-99.115105,-199.07124,0.047712571393879785,-0.03328082988056256
12,12,8.917899999999826e-05,-0.000113359594,3.1077692e-05,-0.00018705813,-0.40756863,-0.9265589,-1.1724826,-2.6655,0.033194136,0.04840811,2.8334955e-06,4.4129893e-06,-0.036906455,-0.08390245,2.8334916e-06,4.4129793e-06,-0.03690656,-0.08390269,55.812775,151.97433,4.1948323,-100.3564,-99.51199,-199.8684,0.047272928034294996,-0.03375756480090962
13,13,9.660999999999698e-05,-0.00011365556,3.1077692e-05,-0.00018765006,-0.40903467,-0.9294909,-1.1767,-2.6739347,0.033424646,0.04840811,3.0810409e-06,4.7727435e-06,-0.03703921,-0.08416795,3.0810363e-06,4.772732e-06,-0.037039325,-0.08416821,56.104595,152.93767,4.1948323,-101.027916,-100.17786,-201.20578,0.047272928034294996,-0.03399601751674882
14,14,0.0001040429999999,-0.00011365556,3.1077692e-05,-0.00018794608,-0.40903467,-0.9309572,-1.1767,-2.6781528,0.03365519,0.04840811,3.3302995e-06,5.1324982e-06,-0.03703921,-0.08430072,3.330294e-06,5.132485e-06,-0.037039332,-0.084301,56.104595,153.42056,4.1948323,-101.5108,-100.65669,-202.1675,0.047272928034294996,-0.03423456228997528
