,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,True Strain Rate 1W,True Strain Rate 3W
0,0,0,0,0,0.0,-0.00043582765,0.0001860222,-6.511515e-05,-1.2373666,-0.32253623,-3.559623,-0.9278636,-0.43359834,0.2897571,0.0,0.0,-0.11204693,-0.029206537,0.0,0.0,-0.11204693,-0.029206537,0.25445390607028856,0.3601876053137515
1,1,1,1,1,9.009999999996798e-06,-0.00043701156,0.00018720611,-6.526313e-05,-1.2373666,-0.32326922,-3.559623,-0.92997223,-0.43532723,0.29160124,-3.91656e-06,2.6203913e-06,-0.11204693,-0.02927291,-3.916568e-06,2.6203877e-06,-0.11204649,-0.029272795,0.2558827199510731,0.36139285805879706
2,2,2,2,2,1.8024999999997904e-05,-0.0004380475,0.00018839003,-6.5411165e-05,-1.2366335,-0.32400247,-3.5575142,-0.9320817,-0.4369408,0.29344535,-7.848186e-06,5.257407e-06,-0.11198054,-0.02933931,-7.848217e-06,5.257393e-06,-0.11197966,-0.029339079,0.25730947204131377,0.36251640931020523
3,3,3,3,3,2.703999999999901e-05,-0.0004392314,0.0001897219,-6.555914e-05,-1.2359005,-0.32473546,-3.5554059,-0.93419033,-0.43878493,0.29551995,-1.1795397e-05,7.9120855e-06,-0.11191418,-0.029405685,-1.1795466e-05,7.912054e-06,-0.11191286,-0.029405339,0.2589121203611253,0.3637989587783628
4,4,4,4,4,3.605599999999959e-05,-0.00044026732,0.00019090582,-6.555914e-05,-1.2351675,-0.32473546,-3.553297,-0.93419033,-0.44051376,0.29736406,-1.5758713e-05,1.05844265e-05,-0.111847796,-0.029405685,-1.5758837e-05,1.0584371e-05,-0.11184603,-0.029405221,0.2603345598561627,0.3649998277356297
5,5,5,5,5,4.506999999999428e-05,-0.00044130324,0.00019223771,-6.570713e-05,-1.2337013,-0.32546848,-3.5490792,-0.9362991,-0.44224265,0.2994387,-1.9737612e-05,1.3274432e-05,-0.11171503,-0.029472062,-1.9737807e-05,1.32743435e-05,-0.11171283,-0.029471481,0.261932401997548,0.36619929793802797
6,6,6,6,6,5.408599999999486e-05,-0.0004423392,0.00019342163,-6.585511e-05,-1.2329684,-0.32620147,-3.5469708,-0.93840766,-0.4438563,0.30128282,-2.3731578e-05,1.59821e-05,-0.11164867,-0.029538436,-2.373186e-05,1.5981972e-05,-0.11164602,-0.029537736,0.26335056253099204,0.36731752028320785
7,7,7,7,7,6.309999999999649e-05,-0.00044337506,0.00019475358,-6.600309e-05,-1.2315019,-0.3269345,-3.542752,-0.9405164,-0.44558513,0.30335754,-2.774061e-05,1.8707431e-05,-0.11151587,-0.029604813,-2.7740996e-05,1.8707256e-05,-0.11151278,-0.029603992,0.26494365804671627,0.3685141738567009
8,8,8,8,8,7.211299999999865e-05,-0.000444559,0.00019608546,-6.615108e-05,-1.2307692,-0.3276675,-3.540644,-0.94262516,-0.44742924,0.30543214,-3.1765747e-05,2.1451466e-05,-0.11144952,-0.029671188,-3.1766253e-05,2.1451235e-05,-0.11144598,-0.029670246,0.26653412772177615,0.36978904498689075
9,9,9,9,9,8.112799999999976e-05,-0.00044559495,0.00019741735,-6.629906e-05,-1.2293034,-0.3284005,-3.536427,-0.9447338,-0.44915813,0.30750674,-3.5806992e-05,2.4214201e-05,-0.11131678,-0.029737564,-3.5807632e-05,2.4213909e-05,-0.11131279,-0.029736498,0.2681220718193716,0.37098278781903526
10,10,10,10,10,9.014299999999392e-05,-0.00044677887,0.00019860126,-6.644704e-05,-1.2293034,-0.3291335,-3.536427,-0.9468425,-0.45088696,0.30935088,-3.986382e-05,2.6994601e-05,-0.11131678,-0.02980394,-3.986461e-05,2.6994236e-05,-0.11131234,-0.02980275,0.2695315029563101,0.3721750659741299
11,11,11,11,11,9.915999999999398e-05,-0.00044781476,0.00019993314,-6.644704e-05,-1.2278372,-0.3291335,-3.5322094,-0.9468425,-0.45273104,0.31142548,-4.393675e-05,2.9792664e-05,-0.11118402,-0.02980394,-4.3937715e-05,2.979222e-05,-0.111179136,-0.02980263,0.27111469827583246,0.37344526077794754
12,12,12,12,12,0.0001081739999999,-0.00044899865,0.00020126505,-6.659507e-05,-1.2271041,-0.32986677,-3.5301,-0.9489519,-0.45457512,0.3135001,-4.8026304e-05,3.2609427e-05,-0.111117624,-0.029870337,-4.8027458e-05,3.2608896e-05,-0.11111229,-0.029868903,0.2726954062759251,0.37471384423343546
