,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E,True Strain Rate 1W,True Strain Rate 3W
0,0,0,0,0.0,-0.00032158013,8.834945e-05,-5.342403e-05,-1.1552664,-0.26462635,-3.3234394,-0.76127005,-0.2776551,0.13761735,0.0,0.0,-0.10461253,-0.023962641,0.0,0.0,-0.10461253,-0.023962641,449.1542,12.396252,33.90196,402.856,399.46634,802.3223,0.1289360313570076,0.24502644472820304
1,1,1,1,7.496000000002667e-06,-0.00032232006,8.9089364e-05,-5.342403e-05,-1.1552665,-0.26462635,-3.3234398,-0.76127005,-0.2788076,0.13876987,-2.084727e-06,1.0354546e-06,-0.104612544,-0.023962641,-2.084729e-06,1.0354541e-06,-0.10461233,-0.02396259,451.22354,12.396252,34.472183,404.3551,400.95285,805.308,0.12994861839698962,0.24592808125751894
2,2,2,2,1.4986000000001554e-05,-0.00032291206,8.982933e-05,-5.3572017e-05,-1.1545336,-0.2653594,-3.3213315,-0.7633788,-0.27972975,0.13992247,-4.1772264e-06,2.0795453e-06,-0.104546174,-0.024029018,-4.177235e-06,2.079543e-06,-0.104545735,-0.024028918,452.8826,12.465022,35.047207,405.37036,401.95956,807.32996,0.1309602513217728,0.24664892282735582
3,3,3,3,2.2477999999999387e-05,-0.00032365197,9.0569294e-05,-5.372e-05,-1.1545333,-0.2660924,-3.3213305,-0.7654875,-0.28076705,0.14107507,-6.277067e-06,3.132272e-06,-0.104546145,-0.024095394,-6.2770864e-06,3.1322672e-06,-0.10454549,-0.024095243,454.9604,12.533981,35.62698,406.7994,403.3766,810.176,0.1319708618795547,0.2474591562607639
4,4,4,4,2.997400000000205e-05,-0.00032424388,9.13092e-05,-5.372e-05,-1.1538002,-0.2660924,-3.3192217,-0.7654875,-0.2818043,0.1422276,-8.384679e-06,4.1936346e-06,-0.10447977,-0.024095394,-8.384714e-06,4.193626e-06,-0.10447889,-0.024095193,456.62604,12.533981,36.211468,407.88055,404.44864,812.3292,0.1329803908509225,0.24826869473987553
5,5,5,5,3.746599999999989e-05,-0.00032483588,9.2049166e-05,-5.3867978e-05,-1.1530674,-0.26682538,-3.3171134,-0.7675961,-0.2827264,0.1433802,-1.0499632e-05,5.2636333e-06,-0.1044134,-0.024161767,-1.0499687e-05,5.2636196e-06,-0.1044123,-0.024161514,458.29495,12.60313,36.80076,408.89105,405.45062,814.3417,0.13398896292326465,0.2489878126975877
6,6,6,6,4.4955999999998775e-05,-0.00032557582,9.278912e-05,-5.3867978e-05,-1.1530672,-0.26682538,-3.317113,-0.7675961,-0.28387898,0.1445328,-1.2622358e-05,6.342268e-06,-0.10441339,-0.024161767,-1.2622437e-05,6.342248e-06,-0.10441207,-0.024161462,460.38522,12.60313,37.3948,410.3873,406.93427,817.32153,0.13499651880279934,0.24988594848929016
7,7,7,7,5.245200000000144e-05,-0.00032616782,9.352904e-05,-5.401601e-05,-1.1523346,-0.26755863,-3.3150053,-0.76970553,-0.28480104,0.14568533,-1.4752855e-05,7.4295385e-06,-0.10434704,-0.024228165,-1.47529645e-05,7.429511e-06,-0.1043455,-0.024227807,462.061,12.672494,37.99356,411.39493,407.93344,819.32837,0.13600299943640887,0.2506038736745407
8,8,8,8,5.994399999999928e-05,-0.00032690776,9.4268995e-05,-5.401601e-05,-1.1523345,-0.26755863,-3.3150048,-0.76970553,-0.2859536,0.14683792,-1.6891125e-05,8.525445e-06,-0.104347035,-0.024228165,-1.6891268e-05,8.525409e-06,-0.10434527,-0.024227755,464.15982,12.672494,38.597115,412.8902,409.4161,822.3063,0.13700852040297934,0.2515005442935798
9,9,9,9,6.743600000000405e-05,-0.00032749964,9.500896e-05,-5.4163993e-05,-1.151601,-0.26829162,-3.3128948,-0.7718142,-0.28687564,0.14799051,-1.9037168e-05,9.629987e-06,-0.10428061,-0.02429454,-1.9037348e-05,9.629941e-06,-0.10427863,-0.024294078,465.8421,12.742024,39.205425,413.89465,410.4121,824.30676,0.13801303131268397,0.25221729612859345
10,10,10,10,7.49310000000003e-05,-0.00032823964,9.589686e-05,-5.4163993e-05,-1.1508683,-0.26829162,-3.3107872,-0.7718142,-0.28814346,0.14937356,-2.1191414e-05,1.074403e-05,-0.10421427,-0.02429454,-2.119164e-05,1.0743972e-05,-0.10421207,-0.024294026,467.94965,12.742024,39.941635,415.266,411.7719,827.0379,0.13921706352085117,0.2532020034672266
11,11,11,11,8.24220000000056e-05,-0.0003288316,9.6636824e-05,-5.4311975e-05,-1.1501353,-0.26902464,-3.3086784,-0.77392286,-0.28906557,0.15052615,-2.3353865e-05,1.1867572e-05,-0.10414789,-0.024360916,-2.3354138e-05,1.1867501e-05,-0.10414546,-0.024360348,469.639,12.811745,40.560413,416.26685,412.76437,829.03125,0.14021935948313097,0.25391759155388505
12,12,12,12,8.991400000000344e-05,-0.00032942355,9.737679e-05,-5.4311975e-05,-1.149402,-0.26902464,-3.306569,-0.77392286,-0.2901029,0.15167877,-2.5523657e-05,1.299975e-05,-0.1040815,-0.024360916,-2.5523983e-05,1.2999665e-05,-0.10407884,-0.024360294,471.3314,12.811745,41.18395,417.3357,413.82422,831.1599,0.1412206779029571,0.25472198263418794
13,13,13,13,9.740899999999968e-05,-0.00033016352,9.8116696e-05,-5.4459957e-05,-1.1494024,-0.26975763,-3.30657,-0.77603155,-0.2911402,0.15283127,-2.770122e-05,1.41405635e-05,-0.10408153,-0.024427291,-2.7701604e-05,1.41404635e-05,-0.10407864,-0.024426615,473.45123,12.881655,41.812187,418.7574,415.23395,833.99133,0.14222089059552806,0.2555257039542284
14,14,14,14,0.000104901,-0.00033075543,9.885666e-05,-5.4607943e-05,-1.148669,-0.27049065,-3.3044603,-0.7781403,-0.29206222,0.15398388,-2.9886125e-05,1.5290012e-05,-0.10401512,-0.024493668,-2.9886573e-05,1.5289896e-05,-0.10401201,-0.024492936,475.15033,12.951758,42.445236,419.75333,416.2215,835.97485,0.1432201991841837,0.2562395620955928
15,15,15,15,0.000112392,-0.0003314954,9.959662e-05,-5.4607943e-05,-1.148669,-0.27049065,-3.3044603,-0.7781403,-0.29321483,0.15513647,-3.2078802e-05,1.6448099e-05,-0.10401512,-0.024493668,-3.2079315e-05,1.6447964e-05,-0.10401178,-0.024492882,477.27872,12.951758,43.083035,421.2439,417.69952,838.9434,0.14421849283806074,0.2571312344804677
16,16,16,16,0.0001198859999999,-0.00033208734,0.00010048457,-5.4755925e-05,-1.1472028,-0.27122366,-3.3002424,-0.780249,-0.2942522,0.15651959,-3.4279685e-05,1.7615685e-05,-0.10388235,-0.024560044,-3.428027e-05,1.761553e-05,-0.10387879,-0.024559202,478.98477,13.022048,43.854668,422.10806,418.55643,840.6645,0.14541514158610044,0.2579330766245832
17,17,17,17,0.000127379,-0.00033282727,0.000101224476,-5.4755925e-05,-1.147203,-0.27122366,-3.300243,-0.780249,-0.2954047,0.1576721,-3.6488767e-05,1.8792769e-05,-0.103882365,-0.024560044,-3.6489433e-05,1.8792593e-05,-0.10387857,-0.024559148,481.12164,13.022048,44.502884,423.5967,420.03253,843.6293,0.14641117843150353,0.25882315598304034
18,18,18,18,0.000134871,-0.00033341927,0.00010196444,-5.4903907e-05,-1.1464701,-0.27195665,-3.2981343,-0.7823577,-0.29632682,0.15882471,-3.8705628e-05,1.997849e-05,-0.103815995,-0.024626419,-3.8706374e-05,1.997829e-05,-0.10381198,-0.024625465,482.8347,13.092529,45.155907,424.58624,421.01376,845.6,0.14740631046893365,0.25953474206500454
19,19,19,19,0.000142366,-0.00033415918,0.000102852384,-5.4903907e-05,-1.1457368,-0.27195665,-3.296025,-0.7823577,-0.29759464,0.16020782,-4.093069e-05,2.1173712e-05,-0.103749596,-0.024626419,-4.0931525e-05,2.1173486e-05,-0.10374535,-0.024625411,484.98004,13.092529,45.945797,425.9417,422.35782,848.29956,0.14859914424431575,0.26051227366764407
20,20,20,20,0.000149856,-0.00033475115,0.0001035923,-5.505189e-05,-1.145004,-0.27268967,-3.293917,-0.7844663,-0.2985167,0.16136034,-4.3163953e-05,2.237843e-05,-0.10368324,-0.024692794,-4.3164884e-05,2.237818e-05,-0.10367876,-0.024691729,486.69986,13.163201,46.609238,426.92743,423.33524,850.2627,0.14959202493120496,0.2612226130314182
21,21,21,21,0.000157349,-0.00033549112,0.000104332255,-5.5199922e-05,-1.145004,-0.27342293,-3.293917,-0.78657573,-0.299554,0.16251293,-4.5404562e-05,2.3591787e-05,-0.10368324,-0.024759194,-4.540559e-05,2.3591509e-05,-0.10367853,-0.024758069,488.85394,13.234087,47.277477,428.34238,424.73828,853.0807,0.15058398099816414,0.2620211286800629
22,22,22,22,0.0001648399999999,-0.00033608303,0.00010507222,-5.5199922e-05,-1.1442707,-0.27342293,-3.2918072,-0.78657573,-0.3005913,0.16366555,-4.765294e-05,2.4813779e-05,-0.10361683,-0.024759194,-4.7654074e-05,2.4813471e-05,-0.103611894,-0.024758015,490.58044,13.234087,47.950474,429.39587,425.78293,855.17883,0.151574979843902,0.26281900721018164
23,23,23,23,0.000172336,-0.00033682297,0.000105812134,-5.53479e-05,-1.1442708,-0.2741559,-3.2918077,-0.78868437,-0.3016286,0.16481806,-4.9909093e-05,2.6044407e-05,-0.10361685,-0.024825567,-4.9910337e-05,2.6044068e-05,-0.10361168,-0.024824329,492.74298,13.305138,48.62818,430.80966,427.1848,857.9945,0.15256490314777849,0.26361624963765046
24,24,24,24,0.000179826,-0.000337563,0.0001065521,-5.53479e-05,-1.1442711,-0.2741559,-3.2918086,-0.78868437,-0.30278122,0.16597067,-5.2173447e-05,2.7283671e-05,-0.10361688,-0.024825567,-5.2174808e-05,2.7283299e-05,-0.10361147,-0.024824273,494.91055,13.305138,49.31069,432.29474,428.65738,860.95215,0.15355393323799618,0.264501379210117
25,25,25,25,0.000187319,-0.0003381549,0.000107440035,-5.5495886e-05,-1.1428047,-0.27488893,-3.2875903,-0.7907931,-0.30381852,0.16735376,-5.4446005e-05,2.8532435e-05,-0.103484094,-0.024891945,-5.444749e-05,2.8532027e-05,-0.10347846,-0.024890589,496.6477,13.376382,50.13596,433.13538,429.49097,862.62634,0.15473944361469655,0.2652972820400295
26,26,26,26,0.000194816,-0.0003388948,0.00010817996,-5.5495886e-05,-1.1428047,-0.27488893,-3.28759,-0.7907931,-0.30497104,0.1685063,-5.672677e-05,2.9790697e-05,-0.10348409,-0.024891945,-5.672838e-05,2.9790255e-05,-0.103478216,-0.024890533,498.8235,13.376382,50.828896,434.61823,430.96133,865.5796,0.15572626650984084,0.266180848957539
27,27,27,27,0.0002023059999999,-0.00033963477,0.0001090679,-5.5643868e-05,-1.1420717,-0.27562192,-3.2854815,-0.7929018,-0.3061236,0.16988939,-5.901617e-05,3.1058462e-05,-0.10341772,-0.02495832,-5.901791e-05,3.1057978e-05,-0.103411615,-0.024956847,501.0042,13.447815,51.66673,435.88968,432.22208,868.11176,0.1569092058790843,0.267063666498657
