Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E,True Strain Rate 1W,True Strain Rate 3W
0.0,-0.00017196321,7.310655e-05,-3.0041772e-05,-0.48966876,-0.14880654,-1.408666,-0.42808267,-0.16746897,0.11387428,0.0,0.0,-0.044340845,-0.013474839,0.0,0.0,-0.044340845,-0.013474839,192.65462,5.8797574,34.81937,151.95549,150.67693,302.63242,0.10784431,0.15483817
7.37676e-06,-0.00017225923,7.340257e-05,-3.0041772e-05,-0.48966876,-0.14880654,-1.408666,-0.42808267,-0.16793005,0.11433536,-1.2370791e-06,8.4172393e-07,-0.044340845,-0.013474839,-1.2370798e-06,8.417236e-07,-0.04434079,-0.013474822,193.31847,5.8797574,35.101917,152.33678,151.05501,303.39178,0.10825809,0.15523297
1.475352e-05,-0.0001725552,7.369854e-05,-3.0041772e-05,-0.48966876,-0.14880654,-1.408666,-0.42808267,-0.16839108,0.11479638,-2.4775593e-06,1.6868489e-06,-0.044340845,-0.013474839,-2.4775622e-06,1.6868476e-06,-0.044340737,-0.013474805,193.98334,5.8797574,35.38556,152.71802,151.43304,304.15106,0.108671784,0.15562768
2.213028e-05,-0.00017285116,7.39945e-05,-3.0189758e-05,-0.48966873,-0.14953956,-1.4086659,-0.4301914,-0.16873682,0.11525739,-3.721015e-06,2.5353747e-06,-0.04434084,-0.013541216,-3.721022e-06,2.5353716e-06,-0.044340678,-0.013541166,194.64934,5.9378276,35.67034,153.04115,151.75346,304.79462,0.109085225,0.15592352
2.950704e-05,-0.00017329515,7.429047e-05,-3.0189758e-05,-0.49040195,-0.14953956,-1.4107753,-0.4301914,-0.16931312,0.115718395,-4.967872e-06,3.3873014e-06,-0.044407237,-0.013541216,-4.9678843e-06,3.3872955e-06,-0.044407018,-0.013541149,195.65059,5.9378276,35.95626,153.7565,152.46278,306.2193,0.10949847,0.15641645
3.68838e-05,-0.00017359112,7.473446e-05,-3.0189758e-05,-0.48966876,-0.14953956,-1.408666,-0.4301914,-0.16988942,0.11640999,-6.2189797e-06,4.243479e-06,-0.044340845,-0.013541216,-6.2189993e-06,4.24347e-06,-0.04434057,-0.013541132,196.31944,5.9378276,36.387325,153.9943,152.69858,306.69287,0.1101182,0.15690926
4.426056e-05,-0.00017388708,7.5030424e-05,-3.0189758e-05,-0.48966873,-0.14953956,-1.4086659,-0.4301914,-0.17035042,0.11687099,-7.4739137e-06,5.103908e-06,-0.04434084,-0.013541216,-7.4739414e-06,5.103895e-06,-0.04434051,-0.0135411145,196.98944,5.9378276,36.676098,154.37552,153.0766,307.45212,0.110531025,0.15730321
5.1637322e-05,-0.00017418305,7.532639e-05,-3.0189758e-05,-0.48966876,-0.14953956,-1.408666,-0.4301914,-0.17081144,0.117332004,-8.732248e-06,5.9677377e-06,-0.044340845,-0.013541216,-8.732286e-06,5.96772e-06,-0.044340458,-0.013541098,197.6606,5.9378276,36.966015,154.75676,153.45462,308.21136,0.11094368,0.15769702
5.901408e-05,-0.00017447906,7.56224e-05,-3.0337747e-05,-0.48966876,-0.1502726,-1.408666,-0.43230018,-0.17115727,0.11779308,-9.993559e-06,6.834968e-06,-0.044340845,-0.013607594,-9.993609e-06,6.834945e-06,-0.044340402,-0.013607458,198.33301,5.996185,37.25712,155.0797,153.77486,308.85455,0.11135628,0.15799235
6.639084e-05,-0.00017477502,7.591837e-05,-3.0337747e-05,-0.48966873,-0.1502726,-1.4086659,-0.43230018,-0.17161827,0.118254095,-1.12578455e-05,7.7056e-06,-0.04434084,-0.013607594,-1.1257909e-05,7.70557e-06,-0.044340342,-0.013607441,199.0064,5.996185,37.549316,155.46089,154.15283,309.6137,0.111768596,0.15838589
