,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,True Strain Rate 1W,True Strain Rate 3W
0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.00047178895,0.00032616782,-0.00014399333,-0.7213082,-0.71324515,-2.07504,-2.0518446,-0.5093224,0.5080547,0.0,0.0,-0.06531643,-0.0645863,0.0,0.0,-0.06531643,-0.0645863,0.41082054213745645,0.411660808390281
1,1,1,1,1,1,1,1,1,1,1,1,9.610999999999648e-06,-0.00047400885,0.00032853565,-0.00014443726,-0.7205754,-0.7154441,-2.072932,-2.0581706,-0.51254976,0.5117429,-4.9094606e-06,4.8994934e-06,-0.06525008,-0.06478542,-4.909473e-06,4.899481e-06,-0.065249756,-0.0647851,0.4132632236164157,0.4137968095552472
2,2,2,2,2,2,2,2,2,2,2,2,1.92180000000014e-05,-0.00047637668,0.00033075543,-0.00014502925,-0.72130877,-0.7183764,-2.0750418,-2.066606,-0.5156616,0.51520056,-9.8493765e-06,9.833318e-06,-0.06531648,-0.065050945,-9.849425e-06,9.833269e-06,-0.06531584,-0.065050304,0.41554781303778165,0.41585204330575004
3,3,3,3,3,3,3,3,3,3,3,3,2.882500000000316e-05,-0.00047859643,0.00033297527,-0.00014562118,-0.72130835,-0.7213084,-2.0750406,-2.0750408,-0.5186583,0.5186583,-1.4818641e-05,1.4800366e-05,-0.06531644,-0.065316446,-1.481875e-05,1.4800257e-05,-0.06531547,-0.06531548,0.4178272476830374,0.4178272476830374
4,4,4,4,4,4,4,4,4,4,4,4,3.843700000000228e-05,-0.00048096426,0.0003351951,-0.00014621316,-0.72204137,-0.7242407,-2.0771494,-2.0834763,-0.5217702,0.522116,-1.9817253e-05,1.980064e-05,-0.06538282,-0.06558198,-1.981745e-05,1.9800444e-05,-0.06538153,-0.06558068,0.4201014720411533,0.41987426249469406
5,5,5,5,5,5,5,5,5,5,5,5,4.80450000000035e-05,-0.00048333214,0.00033741494,-0.00014680509,-0.72277474,-0.72717273,-2.0792592,-2.091911,-0.52488226,0.52557373,-2.4845767e-05,2.4834137e-05,-0.06544923,-0.06584748,-2.4846076e-05,2.483383e-05,-0.065447606,-0.06584584,0.422370555701175,0.42191720052141823
6,6,6,6,6,6,6,6,6,6,6,6,5.765199999999832e-05,-0.00048569986,0.00033963477,-0.00014724908,-0.7235072,-0.72937196,-2.0813663,-2.0982378,-0.5281093,0.52903146,-2.9904737e-05,2.9900859e-05,-0.065515555,-0.066046625,-2.9905184e-05,2.9900413e-05,-0.065513596,-0.06604465,0.42463450227482014,0.4240312195996918
7,7,7,7,7,7,7,7,7,7,7,7,6.726500000000385e-05,-0.00048806798,0.0003420026,-0.00014784101,-0.72350866,-0.732304,-2.0813704,-2.1066725,-0.5313368,0.5327197,-3.4994715e-05,3.5001915e-05,-0.06551569,-0.06631213,-3.499533e-05,3.50013e-05,-0.065513395,-0.06630981,0.42704373907511456,0.4261410794186114
8,8,8,8,8,8,8,8,8,8,8,8,7.687099999999919e-05,-0.00049043563,0.0003442224,-0.000148433,-0.72424096,-0.7352363,-2.083477,-2.115108,-0.53444856,0.53617734,-4.0115152e-05,4.01373e-05,-0.065582,-0.06657765,-4.0115956e-05,4.0136492e-05,-0.06557937,-0.06657498,0.4292970837901474,0.4281710721957943
9,9,9,9,9,9,9,9,9,9,9,9,8.647800000000094e-05,-0.0004928032,0.00034644228,-0.00014902493,-0.7249727,-0.7381683,-2.0855823,-2.1235428,-0.53756034,0.5396351,-4.526549e-05,4.530591e-05,-0.065648265,-0.06684315,-4.526651e-05,4.530488e-05,-0.06564529,-0.06684013,0.4315454402969648,0.43019696545690556
10,10,10,10,10,10,10,10,10,10,10,10,9.609000000000006e-05,-0.00049517135,0.0003488101,-0.00014961691,-0.7249742,-0.74110055,-2.0855863,-2.1319783,-0.5407878,0.54332334,-5.044628e-05,5.050885e-05,-0.06564839,-0.06710868,-5.0447554e-05,5.0507577e-05,-0.065645084,-0.0671053,0.4339381042470821,0.4322938440656831
11,11,11,11,11,11,11,11,11,11,11,11,0.000105697,-0.00049753895,0.0003510299,-0.00015020884,-0.7257062,-0.74403256,-2.0876923,-2.140413,-0.5438996,0.54678106,-5.565753e-05,5.5746124e-05,-0.06571469,-0.067374185,-5.565908e-05,5.574457e-05,-0.06571103,-0.06737044,0.4361760360419556,0.43431142358157276
