,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E,True Strain Rate 1W,True Strain Rate 3W
0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.0002210956,-2.131042e-05,-0.00016367584,-1.2007148,-0.8107389,-3.4541843,-2.332312,-0.028122822,-0.033194132,0.0,0.0,-0.10872801,-0.07341463,0.0,0.0,-0.10872801,-0.07341463,212.31334,116.355316,1.9724276,93.9856,93.1948,187.1804,-0.03375756066357436,0.027734636549902967
1,1,1,1,1,1,1,1,1,1,1,1,7.804000000000144e-06,-0.00022168753,-2.131042e-05,-0.00016426783,-1.2036468,-0.81367123,-3.462619,-2.3407476,-0.028122777,-0.033194132,-2.194701e-07,-2.5904674e-07,-0.10899351,-0.073680155,-2.1947012e-07,-2.5904677e-07,-0.108993486,-0.07368014,213.45169,117.19851,1.9724276,94.280754,93.48747,187.76822,-0.03375756066357436,0.027734592780812375
2,2,2,2,2,2,2,2,2,2,2,2,1.5604000000002394e-05,-0.0002222795,-2.131042e-05,-0.00016485975,-1.206579,-0.81660324,-3.4710543,-2.3491824,-0.02812281,-0.033194132,-4.3894016e-07,-5.180935e-07,-0.10925903,-0.07394566,-4.3894025e-07,-5.1809366e-07,-0.10925899,-0.07394563,214.59317,118.04466,1.9724276,94.57608,93.78031,188.35638,-0.03375756066357436,0.02773462487814555
3,3,3,3,3,3,3,3,3,3,3,3,2.340900000000201e-05,-0.00022287144,-2.101444e-05,-0.00016515571,-1.208045,-0.8180692,-3.4752717,-2.3533998,-0.028583853,-0.0327331,-6.602093e-07,-7.753413e-07,-0.10939178,-0.0740784,-6.6020954e-07,-7.753416e-07,-0.109391704,-0.07407835,215.73764,118.46887,1.9180183,95.35075,94.54846,189.89922,-0.03328081333910939,0.028182956199297646
4,4,4,4,4,4,4,4,4,4,4,4,3.121400000000163e-05,-0.00022316744,-2.101444e-05,-0.0001657477,-1.2095113,-0.8210015,-3.4794898,-2.3618352,-0.028353332,-0.0327331,-8.82378e-07,-1.0307901e-06,-0.10952455,-0.074343935,-8.823784e-07,-1.0307907e-06,-0.10952445,-0.07434387,216.31108,119.31968,1.9180183,95.07339,94.27344,189.34683,-0.03328081333910939,0.027958816150057325
5,5,5,5,5,5,5,5,5,5,5,5,3.901800000000177e-05,-0.00022375939,-2.101444e-05,-0.00016633968,-1.2124434,-0.82393384,-3.4879246,-2.3702707,-0.028353298,-0.0327331,-1.103647e-06,-1.286239e-06,-0.10979006,-0.07460946,-1.1036476e-06,-1.2862399e-06,-0.10978994,-0.07460938,217.4601,120.17352,1.9180183,95.36857,94.56613,189.9347,-0.03328081333910939,0.027958783087490762
6,6,6,6,6,6,6,6,6,6,6,6,4.682400000000087e-05,-0.00022435136,-2.101444e-05,-0.00016663564,-1.2153755,-0.82539976,-3.49636,-2.374488,-0.028583841,-0.0327331,-1.3258156e-06,-1.5416879e-06,-0.11005558,-0.074742205,-1.3258164e-06,-1.5416891e-06,-0.11005543,-0.07474211,218.61224,120.60154,1.9180183,96.09269,95.284164,191.37686,-0.03328081333910939,0.02818294453277195
7,7,7,7,7,7,7,7,7,7,7,7,5.4627000000001535e-05,-0.0002249433,-2.101444e-05,-0.00016722758,-1.2183076,-0.8283319,-3.5047948,-2.382923,-0.028583841,-0.0327331,-1.5488836e-06,-1.7971367e-06,-0.11032109,-0.075007714,-1.5488848e-06,-1.7971383e-06,-0.11032092,-0.075007595,219.76736,121.45989,1.9180183,96.38946,95.57843,191.9679,-0.03328081333910939,0.02818294453277195
8,8,8,8,8,8,8,8,8,8,8,8,6.243200000000115e-05,-0.00022553527,-2.071846e-05,-0.00016781955,-1.2197738,-0.8312641,-3.5090127,-2.3913584,-0.028814351,-0.03227207,-1.7728511e-06,-2.0507866e-06,-0.11045385,-0.07527324,-1.7728527e-06,-2.0507887e-06,-0.11045366,-0.075273104,220.92558,122.32133,1.8643698,96.7399,95.92592,192.66582,-0.032804295261049415,0.02840702366520319
9,9,9,9,9,9,9,9,9,9,9,9,7.02360000000013e-05,-0.0002261272,-2.071846e-05,-0.00016841148,-1.2227057,-0.8341961,-3.5174472,-2.3997931,-0.028814351,-0.03227207,-1.997718e-06,-2.3026375e-06,-0.110719346,-0.07553874,-1.9977201e-06,-2.3026403e-06,-0.11071912,-0.07553859,222.08678,123.185745,1.8643698,97.03666,96.22019,193.25685,-0.032804295261049415,0.02840702366520319
10,10,10,10,10,10,10,10,10,10,10,10,7.803700000000302e-05,-0.00022671919,-2.071846e-05,-0.00016870748,-1.225638,-0.8356623,-3.525883,-2.404011,-0.029044872,-0.03227207,-2.2234844e-06,-2.5544887e-06,-0.11098488,-0.07567151,-2.223487e-06,-2.5544919e-06,-0.11098463,-0.07567134,223.2511,123.619156,1.8643698,97.767586,96.94496,194.71255,-0.032804295261049415,0.028631063286949667
11,11,11,11,11,11,11,11,11,11,11,11,8.584100000000316e-05,-0.00022731112,-2.071846e-05,-0.00016929943,-1.22857,-0.8385944,-3.5343175,-2.4124458,-0.029044861,-0.03227207,-2.4501503e-06,-2.8063396e-06,-0.11125037,-0.07593701,-2.4501535e-06,-2.8063434e-06,-0.111250095,-0.075936824,224.41838,124.48816,1.8643698,98.065865,97.24073,195.3066,-0.032804295261049415,0.02863105259742545
12,12,12,12,12,12,12,12,12,12,12,12,9.364600000000278e-05,-0.00022790309,-2.0422483e-05,-0.0001698914,-1.2300363,-0.84152657,-3.5385356,-2.4208813,-0.029275382,-0.03181104,-2.6777157e-06,-3.0563915e-06,-0.11138315,-0.076202534,-2.6777193e-06,-3.0563963e-06,-0.11138285,-0.07620233,225.58878,125.36025,1.8114825,98.417046,97.58896,196.00601,-0.03232800414432128,0.028855042039056547
