,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E,True Strain Rate 1W,True Strain Rate 3W
0,0,0,0,0,0,0,0,0,0,0,0.0,-0.00035132596,-2.9005845e-05,-0.00031758443,-1.8839054,-1.5730976,-5.4195685,-4.525445,-0.0036882677,-0.045180894,0.0,0.0,-0.17059278,-0.14244829,0.0,0.0,-0.17059278,-0.14244829,536.0898,438.0619,3.6541648,94.37373,93.57967,187.9534,-0.04623337424427133,0.0036814827187870657
1,1,1,1,1,1,1,1,1,1,1,7.947000000001203e-06,-0.0003522139,-2.8709868e-05,-0.00031817635,-1.8868376,-1.5760295,-5.4280043,-4.5338798,-0.0041493094,-0.044719867,-3.1149078e-08,-3.5729488e-07,-0.17085831,-0.14271379,-3.114908e-08,-3.5729494e-07,-0.17085831,-0.14271379,538.80304,439.69635,3.5799708,95.526695,94.72293,190.24963,-0.04575064853082206,0.004140724754458871
2,2,2,2,2,2,2,2,2,2,2,1.5896000000001353e-05,-0.00035339774,-2.841389e-05,-0.0003190643,-1.8912355,-1.5804279,-5.4406557,-4.5465326,-0.0046102833,-0.044258837,-6.596255e-08,-7.109252e-07,-0.17125654,-0.14311206,-6.596255e-08,-7.1092546e-07,-0.17125653,-0.14311205,542.43115,442.15396,3.5065372,96.77066,95.95643,192.72708,-0.045268152590134184,0.004599688494835794
3,3,3,3,3,3,3,3,3,3,3,2.3846000000000978e-05,-0.00035458172,-2.8117915e-05,-0.00031995226,-1.895634,-1.5848262,-5.4533095,-4.5591855,-0.005071348,-0.043797817,-1.044405e-07,-1.060891e-06,-0.17165485,-0.14351034,-1.0444051e-07,-1.0608916e-06,-0.17165484,-0.14351033,546.0718,444.6184,3.4338655,98.01951,97.19477,195.21428,-0.04478589979755076,0.0050585320259786855
4,4,4,4,4,4,4,4,4,4,4,3.17960000000006e-05,-0.00035546962,-2.7821934e-05,-0.00032084022,-1.898566,-1.5892246,-5.461744,-4.571839,-0.005301824,-0.04333678,-1.4566686e-07,-1.4071921e-06,-0.17192034,-0.14390862,-1.4566687e-07,-1.4071932e-06,-0.17192031,-0.1439086,548.81,447.0897,3.3619537,98.35833,97.53074,195.88907,-0.044303861690526414,0.005287818811357413
5,5,5,5,5,5,5,5,5,5,5,3.974200000000233e-05,-0.00035665353,-2.7821934e-05,-0.00032172815,-1.9044303,-1.5936227,-5.4786143,-4.5844913,-0.005532345,-0.04333678,-1.8872537e-07,-1.7516611e-06,-0.17245136,-0.1443069,-1.8872538e-07,-1.7516626e-06,-0.17245133,-0.14430687,552.4718,449.5678,3.3619537,99.54206,98.704506,198.24657,-0.044303861690526414,0.005517097788772518
6,6,6,6,6,6,6,6,6,6,6,4.769000000000301e-05,-0.00035783742,-2.7525955e-05,-0.00032261605,-1.9088285,-1.5980208,-5.4912667,-4.5971437,-0.005993364,-0.04287575,-2.3453228e-07,-2.0942978e-06,-0.17284964,-0.14470515,-2.3453231e-07,-2.0942998e-06,-0.1728496,-0.14470512,556.1457,452.05264,3.290803,100.80223,99.95407,200.7563,-0.04382206314586543,0.005975475234319863
7,7,7,7,7,7,7,7,7,7,7,5.564000000000263e-05,-0.00035902133,-2.7229979e-05,-0.00032320805,-1.9132266,-1.6009531,-5.5039196,-4.6055794,-0.0066848816,-0.04241472,-2.8491976e-07,-2.4332699e-06,-0.1732479,-0.14497069,-2.849198e-07,-2.4332728e-06,-0.17324786,-0.14497064,559.83185,453.7132,3.2204137,102.89823,102.03244,204.93066,-0.043340496619260614,0.006662636859604411
8,8,8,8,8,8,8,8,8,8,8,6.358800000000331e-05,-0.0003599093,-2.6933998e-05,-0.00032409598,-1.9161589,-1.6053513,-5.512355,-4.618232,-0.0069154254,-0.04195369,-3.389718e-07,-2.7685774e-06,-0.17351343,-0.14536895,-3.3897186e-07,-2.768581e-06,-0.17351337,-0.1453689,562.6045,456.20953,3.1507847,103.24418,102.37548,205.61966,-0.04285916188735526,0.006891623516197376
9,9,9,9,9,9,9,9,9,9,9,7.153700000000346e-05,-0.0003610932,-2.6638025e-05,-0.00032498385,-1.9205573,-1.6097492,-5.5250077,-4.6308837,-0.0073764897,-0.041492667,-3.957725e-07,-3.1002203e-06,-0.1739117,-0.1457672,-3.957726e-07,-3.100225e-06,-0.17391163,-0.14576714,566.3119,458.71255,3.0819182,104.5174,103.63799,208.1554,-0.04237806603013675,0.007349416455339882
10,10,10,10,10,10,10,10,10,10,10,7.948700000000308e-05,-0.00036227712,-2.6342044e-05,-0.0003258718,-1.9249554,-1.6141475,-5.53766,-4.6435366,-0.007837509,-0.041031636,-4.562379e-07,-3.4281986e-06,-0.17430998,-0.14616548,-4.5623798e-07,-3.4282045e-06,-0.17430991,-0.14616542,570.0315,461.22266,3.013811,105.795044,104.90488,210.69992,-0.04189719317255084,0.007806955265947626
11,11,11,11,11,11,11,11,11,11,11,8.743300000000481e-05,-0.000363461,-2.6342044e-05,-0.00032675973,-1.9308196,-1.6185458,-5.55453,-4.6561894,-0.008068007,-0.041031636,-5.194516e-07,-3.7543448e-06,-0.17484099,-0.14656375,-5.194517e-07,-3.7543518e-06,-0.1748409,-0.14656368,573.76324,463.73953,3.013811,107.00991,106.10952,213.11943,-0.04189719317255084,0.008035634635268381
12,12,12,12,12,12,12,12,12,12,12,9.538300000000444e-05,-0.00036464492,-2.6046064e-05,-0.0003276477,-1.9352177,-1.6229441,-5.567183,-4.6688423,-0.008529027,-0.040570598,-5.854136e-07,-4.0786585e-06,-0.17523926,-0.14696203,-5.854138e-07,-4.0786667e-06,-0.17523916,-0.14696194,577.5072,466.26337,2.946465,108.29739,107.38617,215.68356,-0.04141654414652819,0.008492860347950333
13,13,13,13,13,13,13,13,13,13,13,0.000103333,-0.00036553288,-2.575009e-05,-0.00032853565,-1.93815,-1.6273425,-5.5756183,-4.681495,-0.008759548,-0.040109575,-6.54124e-07,-4.3993077e-06,-0.17550479,-0.14736031,-6.541242e-07,-4.3993173e-06,-0.17550467,-0.14736022,580.32324,468.79404,2.8798814,108.6493,107.735115,216.38441,-0.040936141659791994,0.008721405736904796
14,14,14,14,14,14,14,14,14,14,14,0.000111282,-0.0003667168,-2.5454108e-05,-0.00032942355,-1.9425484,-1.6317406,-5.588271,-4.6941476,-0.00922059,-0.03964854,-7.2558294e-07,-4.7162926e-06,-0.17590307,-0.14775857,-7.2558316e-07,-4.7163035e-06,-0.17590293,-0.14775847,584.08856,471.3314,2.8140566,109.94308,109.018005,218.96109,-0.04045595735336674,0.009178339875492108
15,15,15,15,15,15,15,15,15,15,15,0.00011923,-0.0003679007,-2.5158135e-05,-0.00033031148,-1.9469465,-1.6361387,-5.600924,-4.7068,-0.009681632,-0.039187517,-8.007065e-07,-5.0296126e-06,-0.17630133,-0.14815684,-8.007068e-07,-5.0296253e-06,-0.1763012,-0.14815672,587.86597,473.87564,2.748995,111.241295,110.305305,221.5466,-0.039976016002677514,0.009635065320627948
16,16,16,16,16,16,16,16,16,16,16,0.00012718,-0.00036908462,-2.4862155e-05,-0.0003311994,-1.9513447,-1.6405369,-5.6135764,-4.719453,-0.010142674,-0.038726486,-8.7949473e-07,-5.3392682e-06,-0.17669961,-0.1485551,-8.7949513e-07,-5.3392823e-06,-0.17669946,-0.14855497,591.65564,476.4268,2.6846926,112.54411,111.59717,224.14128,-0.03949629656290106,0.01009158226285651
17,17,17,17,17,17,17,17,17,17,17,0.000135128,-0.0003702685,-2.4566174e-05,-0.00033179135,-1.9557428,-1.643469,-5.626229,-4.7278876,-0.010834214,-0.03826545,-9.628637e-07,-5.645259e-06,-0.17709786,-0.14882061,-9.628642e-07,-5.645275e-06,-0.1770977,-0.14882046,595.4573,478.13132,2.6211514,114.704834,113.7397,228.44453,-0.03901680194458502,0.010775944395938326
18,18,18,18,18,18,18,18,18,18,18,0.0001430739999999,-0.0003714524,-2.4566174e-05,-0.0003326793,-1.961607,-1.6478673,-5.6430984,-4.740541,-0.01106469,-0.03826545,-1.049897e-06,-5.9494178e-06,-0.17762887,-0.14921889,-1.0498976e-06,-5.9494355e-06,-0.17762868,-0.14921872,599.2712,480.69394,2.6211514,115.956116,114.98046,230.93658,-0.03901680194458502,0.011003924143632259
19,19,19,19,19,19,19,19,19,19,19,0.000151024,-0.0003726363,-2.42702e-05,-0.00033356724,-1.9660053,-1.6522655,-5.6557517,-4.7531934,-0.011525709,-0.03780443,-1.1396786e-06,-6.2517443e-06,-0.17802715,-0.14961717,-1.1396793e-06,-6.251764e-06,-0.17802694,-0.149617,603.0973,483.26334,2.5583727,117.275635,116.28887,233.56451,-0.038537553759808,0.011459794010523723
20,20,20,20,20,20,20,20,20,20,20,0.000158974,-0.00037382022,-2.397422e-05,-0.00033445517,-1.9704034,-1.6566638,-5.668404,-4.765846,-0.011986751,-0.037343398,-1.2331247e-06,-6.5504064e-06,-0.17842543,-0.15001543,-1.2331255e-06,-6.5504278e-06,-0.17842521,-0.15001525,606.93567,485.83957,2.4963534,118.59975,117.601845,236.2016,-0.0380585226783332,0.011915478882340983
21,21,21,21,21,21,21,21,21,21,21,0.00016692,-0.00037500414,-2.3678243e-05,-0.0003353431,-1.9748017,-1.6610619,-5.681057,-4.7784986,-0.012447793,-0.03688237,-1.3302356e-06,-6.8454037e-06,-0.1788237,-0.1504137,-1.3302365e-06,-6.845427e-06,-0.17882346,-0.15041351,610.7862,488.42267,2.4350955,119.9284,118.91931,238.84772,-0.03757972511094799,0.012370956200031527
