Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E,True Strain Rate 1W,True Strain Rate 3W
0.0,-0.00022050363,2.071845e-06,-0.00013052631,-1.0819627,-0.64653873,-3.1125615,-1.8599453,-0.0716901,0.0032272055,0.0,0.0,-0.09797468,-0.058545846,0.0,0.0,-0.09797468,-0.058545846,316.7669,110.99527,0.02796552,205.7437,204.01256,409.75626,0.0032220376,0.06923691
7.996683e-06,-0.00022079959,2.071845e-06,-0.00013111829,-1.0834286,-0.6494709,-3.1167786,-1.8683807,-0.071459554,0.0032272055,-5.7236116e-07,2.5806939e-08,-0.09810743,-0.05881137,-5.7236133e-07,2.5806939e-08,-0.09810737,-0.058811337,317.6178,112.00434,0.02796552,205.58551,203.85571,409.44122,0.0032220376,0.06902177
1.5993366e-05,-0.00022139156,1.7758698e-06,-0.00013141426,-1.087827,-0.65093696,-3.1294315,-1.8725982,-0.07145958,0.00276618,-1.1438007e-06,4.977054e-08,-0.098505706,-0.058944125,-1.1438013e-06,4.9770538e-08,-0.098505594,-0.058944058,319.32318,112.51057,0.020546157,206.79205,205.0521,411.84415,0.002762314,0.06902177
2.3990047e-05,-0.00022198354,1.7758698e-06,-0.00013171021,-1.0907593,-0.65240294,-3.137867,-1.8768153,-0.071690135,0.00276618,-1.716162e-06,7.18908e-08,-0.09877123,-0.05907687,-1.7161635e-06,7.18908e-08,-0.09877106,-0.05907677,321.03314,113.01791,0.020546157,207.99469,206.24461,414.23932,0.002762314,0.06923691
3.1986732e-05,-0.0002222795,1.7758698e-06,-0.00013200619,-1.0922252,-0.653869,-3.1420844,-1.8810328,-0.07169012,0.00276618,-2.2894453e-06,9.401107e-08,-0.09890398,-0.059209626,-2.2894478e-06,9.4011064e-08,-0.09890375,-0.059209492,321.88974,113.526405,0.020546157,208.3428,206.5898,414.93262,0.002762314,0.06923691
3.9983413e-05,-0.00022287144,1.47989e-06,-0.0001323022,-1.0966234,-0.65533525,-3.154737,-1.8852509,-0.071690075,0.0023051477,-2.8627283e-06,1.1428797e-07,-0.09930225,-0.0593424,-2.8627323e-06,1.14287964e-07,-0.099301964,-0.059342228,323.60645,114.036125,0.014268134,209.55608,207.79286,417.34894,0.0023024972,0.06923691
4.7980095e-05,-0.00022316744,1.47989e-06,-0.00013289413,-1.0980896,-0.65826726,-3.1589549,-1.8936857,-0.0714596,0.0023051477,-3.4350896e-06,1.3272151e-07,-0.09943502,-0.0596079,-3.4350953e-06,1.327215e-07,-0.099434674,-0.059607696,324.4666,115.058815,0.014268134,209.39354,207.6317,417.02524,0.0023024972,0.06902187
5.597678e-05,-0.00022375939,1.47989e-06,-0.0001331901,-1.1010216,-0.6597333,-3.1673899,-1.8979031,-0.071690105,0.0023051477,-4.007451e-06,1.5115505e-07,-0.099700525,-0.059740655,-4.0074588e-06,1.5115504e-07,-0.09970012,-0.059740417,326.19016,115.5719,0.014268134,210.60399,208.83195,419.43594,0.0023024972,0.06923691
6.3973464e-05,-0.00022435136,1.1839101e-06,-0.00013348612,-1.10542,-0.66119957,-3.1800425,-1.9021212,-0.0716901,0.0018441152,-4.580734e-06,1.6774521e-07,-0.100098796,-0.05987343,-4.5807446e-06,1.677452e-07,-0.100098334,-0.059873153,327.91837,116.08618,0.009131576,211.82304,210.04076,421.8638,0.0018424693,0.06923691
7.197014e-05,-0.00022464733,1.1839101e-06,-0.00013378209,-1.106886,-0.6626656,-3.1842601,-1.9063387,-0.0716901,0.0018441152,-5.154017e-06,1.8249202e-07,-0.10023155,-0.060006183,-5.15403e-06,1.82492e-07,-0.10023104,-0.060005873,328.78412,116.60153,0.009131576,212.17345,210.38821,422.56165,0.0018424693,0.06923691
7.996683e-05,-0.00022523926,8.879349e-07,-0.00013407804,-1.1112841,-0.6641316,-3.1969125,-1.910556,-0.07169008,0.00138309,-5.7273e-06,1.9539549e-07,-0.100629814,-0.06013893,-5.7273164e-06,1.9539547e-07,-0.10062924,-0.060138587,330.51904,117.118004,0.005136539,213.3959,211.60039,424.99628,0.0013821105,0.06923691
