,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W
0,0.0026114697,-8.006203e-05,8.021006e-05,-8.021006e-05,0.0007332369,-0.39730617,0.0021093562,-1.1429598,-0.06376078,0.12775734,0.0,0.0,7.064267e-05,-0.0382779,0.0,0.0,7.064267e-05,-0.0382779
1,0.0026252144,-8.021006e-05,8.094998e-05,-8.035805e-05,0.0036650673,-0.3980392,0.010543567,-1.1450685,-0.06435008,0.12893587,-8.804149e-07,1.76407e-06,0.00035310574,-0.038348526,-8.8041526e-07,1.7640684e-06,0.00035310542,-0.038348593
2,0.0026389589,-8.050603e-05,8.183792e-05,-8.065401e-05,0.006597258,-0.3995052,0.018978816,-1.1492859,-0.06505724,0.13035017,-1.7697395e-06,3.5459586e-06,0.0006356035,-0.038489763,-1.7697411e-06,3.5459525e-06,0.0006356024,-0.0384899
3,0.0026527036,-8.065401e-05,8.2577884e-05,-8.094998e-05,0.009529557,-0.40097123,0.027414374,-1.1535033,-0.065528676,0.13152878,-2.6671637e-06,5.3456665e-06,0.0009181117,-0.038631007,-2.667167e-06,5.345652e-06,0.00091810926,-0.038631212
4,0.002666448,-8.094998e-05,8.33178e-05,-8.1097955e-05,0.011728547,-0.4017042,0.03374037,-1.1556119,-0.06623581,0.1327073,-3.572687e-06,7.161573e-06,0.0011299703,-0.038701624,-3.5726935e-06,7.1615473e-06,0.0011299662,-0.0387019
5,0.0026801927,-8.1097955e-05,8.405776e-05,-8.139397e-05,0.014660882,-0.40317044,0.042176034,-1.15983,-0.0667072,0.1338859,-4.48631e-06,8.993678e-06,0.001412482,-0.038842887,-4.48632e-06,8.993638e-06,0.0014124757,-0.038843237
6,0.0026939372,-8.124594e-05,8.479772e-05,-8.1689934e-05,0.017593108,-0.40463644,0.050611384,-1.1640474,-0.06717866,0.1350645,-5.406412e-06,1.0841984e-05,0.0016949832,-0.038984127,-5.4064267e-06,1.0841924e-05,0.001694974,-0.03898455
7,0.0027076819,-8.1541955e-05,8.5685664e-05,-8.183792e-05,0.020525118,-0.40536946,0.059046116,-1.166156,-0.06800369,0.1364788,-6.3354246e-06,1.27081075e-05,0.0019774637,-0.039054748,-6.3354446e-06,1.2708027e-05,0.0019774511,-0.039055243
8,0.0027214263,-8.1689934e-05,8.642558e-05,-8.213388e-05,0.023457166,-0.40683547,0.067480944,-1.1703734,-0.068475105,0.13765731,-7.273346e-06,1.4592049e-05,0.0022599476,-0.03919599,-7.273373e-06,1.4591943e-05,0.002259931,-0.039196562
9,0.002735171,-8.1985905e-05,8.716554e-05,-8.228187e-05,0.025656408,-0.40756848,0.07380767,-1.1724821,-0.06918226,0.13883594,-8.219367e-06,1.6492191e-05,0.0024718305,-0.039266612,-8.219401e-06,1.6492055e-05,0.0024718102,-0.03926726
10,0.0027489155,-8.213388e-05,8.790545e-05,-8.2577884e-05,0.028588418,-0.40903476,0.0822424,-1.1767002,-0.06965362,0.14001444,-9.173487e-06,1.8408531e-05,0.0027543108,-0.039407875,-9.17353e-06,1.8408362e-05,0.0027542855,-0.0394086
11,0.0027626602,-8.24299e-05,8.8645415e-05,-8.272586e-05,0.030787444,-0.40976775,0.0885685,-1.1788089,-0.07036082,0.14119305,-1.0135707e-05,2.0341071e-05,0.0029661728,-0.039478496,-1.0135758e-05,2.0340864e-05,0.0029661427,-0.0394793
12,0.0027764046,-8.2577884e-05,8.953336e-05,-8.3021834e-05,0.03445269,-0.41123378,0.099112585,-1.1830263,-0.07095011,0.14260735,-1.1106837e-05,2.229143e-05,0.003319296,-0.039619736,-1.11068985e-05,2.229118e-05,0.0033192593,-0.03962062
13,0.0027901493,-8.287385e-05,9.027332e-05,-8.33178e-05,0.03665197,-0.4126998,0.10543941,-1.1872437,-0.07153942,0.14378595,-1.2086066e-05,2.4259607e-05,0.0035311824,-0.039760977,-1.2086139e-05,2.4259312e-05,0.0035311398,-0.039761942
14,0.0028038938,-8.3021834e-05,9.101323e-05,-8.346583e-05,0.039583944,-0.41343302,0.11387403,-1.1893531,-0.07212863,0.14496447,-1.3073394e-05,2.6243983e-05,0.0038136593,-0.03983162,-1.307348e-05,2.6243639e-05,0.0038136095,-0.039832667
15,0.0028176385,-8.33178e-05,9.1753194e-05,-8.37618e-05,0.04178322,-0.41489905,0.12020086,-1.1935705,-0.072717935,0.14614306,-1.4068822e-05,2.8244558e-05,0.0040255454,-0.039972864,-1.4068921e-05,2.8244158e-05,0.0040254886,-0.039973993
16,0.002831383,-8.346583e-05,9.2641145e-05,-8.405776e-05,0.04544829,-0.41636506,0.13074443,-1.1977879,-0.073307276,0.14755738,-1.5072349e-05,3.0262952e-05,0.0043786513,-0.040114105,-1.5072463e-05,3.0262494e-05,0.004378585,-0.04011532
17,0.0028451276,-8.37618e-05,9.338106e-05,-8.420574e-05,0.04764728,-0.41709805,0.13707042,-1.1998966,-0.074014395,0.14873591,-1.6084787e-05,3.2299165e-05,0.00459051,-0.04018472,-1.6084916e-05,3.229864e-05,0.004590436,-0.040186018
18,0.002858872,-8.390978e-05,9.412102e-05,-8.4501706e-05,0.050579544,-0.41856405,0.14550588,-1.204114,-0.074485846,0.1499145,-1.7105323e-05,3.4351575e-05,0.0048730145,-0.040325962,-1.7105469e-05,3.4350986e-05,0.004872931,-0.040327348
19,0.0028726168,-8.420574e-05,9.486093e-05,-8.479772e-05,0.052778568,-0.42003033,0.15183197,-1.208332,-0.07507507,0.15109302,-1.8133149e-05,3.6420188e-05,0.005084877,-0.04046723,-1.8133313e-05,3.6419522e-05,0.0050847847,-0.040468704
20,0.0028863612,-8.435372e-05,9.5748874e-05,-8.49457e-05,0.05644385,-0.42076328,0.16237617,-1.2104406,-0.07578222,0.15250732,-1.9169884e-05,3.8506616e-05,0.005438003,-0.040537845,-1.9170067e-05,3.8505874e-05,0.005437899,-0.040539406
21,0.002900106,-8.4501706e-05,9.648884e-05,-8.524166e-05,0.059376113,-0.4222293,0.17081162,-1.214658,-0.076253675,0.15368593,-2.0214718e-05,4.0610867e-05,0.005720508,-0.040679086,-2.0214922e-05,4.061004e-05,0.0057203923,-0.040680736
22,0.0029138504,-8.479772e-05,9.72288e-05,-8.538965e-05,0.06157514,-0.42296234,0.17713772,-1.2167667,-0.07696087,0.15486453,-2.1267653e-05,4.2731313e-05,0.00593237,-0.04074971,-2.1267879e-05,4.27304e-05,0.005932244,-0.04075145
23,0.002927595,-8.5093685e-05,9.8116696e-05,-8.5685664e-05,0.06450715,-0.42442858,0.18557245,-1.2209848,-0.07766794,0.15627874,-2.2330307e-05,4.486958e-05,0.0062148506,-0.040890973,-2.2330556e-05,4.486857e-05,0.006214712,-0.04089281
24,0.0029413395,-8.524166e-05,9.885666e-05,-8.598163e-05,0.06743945,-0.4258946,0.19400801,-1.2252022,-0.07813937,0.15745735,-2.3401059e-05,4.7025664e-05,0.0064973584,-0.041032214,-2.3401333e-05,4.7024558e-05,0.006497206,-0.041034143
25,0.0029550842,-8.538965e-05,9.9744604e-05,-8.62776e-05,0.0711047,-0.42736062,0.2045521,-1.2294197,-0.078728676,0.15887165,-2.44791e-05,4.9199567e-05,0.006850482,-0.041173458,-2.4479401e-05,4.919836e-05,0.0068503143,-0.041175485
26,0.0029688287,-8.5685664e-05,0.00010048457,-8.642558e-05,0.07330372,-0.4280936,0.2108782,-1.2315283,-0.07943587,0.16005027,-2.5566054e-05,5.1391293e-05,0.007062344,-0.041244075,-2.5566382e-05,5.1389972e-05,0.007062163,-0.041246194
27,0.0029825734,-8.583365e-05,0.000101224476,-8.672154e-05,0.0762357,-0.42955962,0.21931282,-1.2357457,-0.079907276,0.16122878,-2.6661106e-05,5.3599215e-05,0.0073448205,-0.041385315,-2.6661462e-05,5.3597778e-05,0.0073446245,-0.041387532
28,0.0029963178,-8.6129614e-05,0.00010211242,-8.701756e-05,0.07916796,-0.43102586,0.22774827,-1.2399638,-0.08061439,0.16264309,-2.7764258e-05,5.5824956e-05,0.0076273256,-0.04152658,-2.7764643e-05,5.58234e-05,0.0076271137,-0.041528895
29,0.0030100625,-8.62776e-05,0.000102852384,-8.716554e-05,0.08210022,-0.4317589,0.23618373,-1.2420725,-0.0812037,0.16382168,-2.8876319e-05,5.8068516e-05,0.00790983,-0.041597202,-2.8876735e-05,5.806683e-05,0.007909602,-0.041599616
30,0.003023807,-8.6573564e-05,0.00010374028,-8.746151e-05,0.08503227,-0.43322492,0.24461856,-1.2462898,-0.08191081,0.16523592,-2.9997289e-05,6.0329894e-05,0.008192314,-0.041738443,-2.9997738e-05,6.0328075e-05,0.008192068,-0.04174096
31,0.0030375517,-8.672154e-05,0.00010448024,-8.775747e-05,0.087964535,-0.4346909,0.25305402,-1.2505072,-0.08238225,0.1664145,-3.1126357e-05,6.260909e-05,0.008474818,-0.041879684,-3.112684e-05,6.2607134e-05,0.008474555,-0.041882306
32,0.003051296,-8.701756e-05,0.000105368184,-8.805348e-05,0.09089655,-0.43615714,0.26148874,-1.2547252,-0.08308941,0.16782881,-3.2263528e-05,6.490611e-05,0.008757299,-0.042020943,-3.2264048e-05,6.4904e-05,0.008757017,-0.04202367
33,0.0030650408,-8.716554e-05,0.0001061081,-8.834945e-05,0.09382855,-0.43762317,0.26992348,-1.2589426,-0.083560824,0.16900733,-3.3408796e-05,6.722094e-05,0.009039779,-0.042162187,-3.3409353e-05,6.721869e-05,0.009039477,-0.042165022
34,0.0030787853,-8.731353e-05,0.00010684806,-8.849743e-05,0.09676082,-0.43835616,0.27835894,-1.2610513,-0.08415012,0.17018594,-3.456135e-05,6.955198e-05,0.009322285,-0.042232804,-3.4561952e-05,6.954956e-05,0.0093219625,-0.04223574
35,0.00309253,-8.7609485e-05,0.00010773601,-8.87934e-05,0.09969311,-0.4398222,0.28679448,-1.2652688,-0.08485726,0.17160024,-3.572282e-05,7.190083e-05,0.009604792,-0.04237405,-3.572346e-05,7.189825e-05,0.009604449,-0.042377096
36,0.0031062744,-8.775747e-05,0.00010847592,-8.894138e-05,0.102625124,-0.44055519,0.29522923,-1.2673774,-0.08544653,0.17277877,-3.6893198e-05,7.4267504e-05,0.009887273,-0.04244467,-3.6893878e-05,7.4264746e-05,0.009886908,-0.04244782
37,0.003120019,-8.805348e-05,0.000109363864,-8.9237394e-05,0.10555717,-0.44202143,0.30366406,-1.2715955,-0.08615367,0.17419307,-3.8072485e-05,7.6651995e-05,0.010169757,-0.04258593,-3.807321e-05,7.6649056e-05,0.010169369,-0.042589195
38,0.0031337636,-8.8201465e-05,0.00011010383,-8.953336e-05,0.10848944,-0.44348744,0.31209952,-1.2758129,-0.08662513,0.17537168,-3.925987e-05,7.9054305e-05,0.010452261,-0.042727172,-3.926064e-05,7.905118e-05,0.0104518505,-0.04273055
39,0.0031475083,-8.849743e-05,0.00011099177,-8.982933e-05,0.1114217,-0.44495347,0.32053497,-1.2800303,-0.08733228,0.17678598,-4.0455354e-05,8.1474434e-05,0.010734767,-0.042868417,-4.0456172e-05,8.147112e-05,0.010734333,-0.04287191
40,0.003161253,-8.8645415e-05,0.000111731686,-9.012529e-05,0.11435371,-0.44641948,0.3289697,-1.2842476,-0.08780369,0.17796451,-4.165894e-05,8.391238e-05,0.011017247,-0.043009657,-4.165981e-05,8.390886e-05,0.011016788,-0.043013267
41,0.0031749974,-8.894138e-05,0.00011261963,-9.042131e-05,0.117285974,-0.44788575,0.33740515,-1.2884657,-0.0885108,0.17937881,-4.2870623e-05,8.636815e-05,0.011299752,-0.04315092,-4.2871543e-05,8.6364416e-05,0.011299267,-0.043154646
42,0.003188742,-8.9089364e-05,0.00011350758,-9.0569294e-05,0.12095126,-0.44861877,0.34794936,-1.2905746,-0.08921795,0.18079312,-4.4092027e-05,8.884336e-05,0.0116528785,-0.04322154,-4.4092998e-05,8.8839406e-05,0.011652364,-0.04322538
43,0.0032024866,-8.938538e-05,0.00011424754,-9.086525e-05,0.123150244,-0.45008475,0.35427535,-1.2947918,-0.0898073,0.1819717,-4.532234e-05,9.133638e-05,0.011864737,-0.043362778,-4.5323366e-05,9.133221e-05,0.011864199,-0.043366738
44,0.0032162312,-8.953336e-05,0.00011513543,-9.1161215e-05,0.12681527,-0.45155075,0.3648188,-1.2990091,-0.09039655,0.18338594,-4.656075e-05,9.384722e-05,0.012217839,-0.04350402,-4.6561836e-05,9.384282e-05,0.01221727,-0.0435081
45,0.0032299757,-8.982933e-05,0.000115875395,-9.13092e-05,0.12901452,-0.45228377,0.37114552,-1.3011179,-0.09110371,0.18456453,-4.7808076e-05,9.637589e-05,0.012429722,-0.043574642,-4.780922e-05,9.637124e-05,0.0124291275,-0.04357884
